English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Chr,English Content,Chr Count for SMS,Translation,Character Count,Chr Count for USSD Screens,,,
,,,,Permit Renewal,14,Kugongesha Kibali Upya,22,Lost Permits,12,Kibali iliyopotea,17,12,Lost permit? Get a statement or affidavit at the police station. Submit the statement with a copy of your permit (if you can) at the RRO. Tip: Lost permits are hard to replace. Make certified copies to give to your family or keep it safe. Remember your permit’s file and case number.,283,Je umepoteza kibali? Andika  kauli au  hati ya kiapo kituoni cha polisi. Peana kauli na nakala ya kibali (kama unaweza) kwa RRO. Mwanga : kibali kiki potea ni vigumu  kupata tena. Thibitishwa nakala na uziweke salama. Kumbuka faili namba za kibali na kesi namba.,262,319,,,
,,,,Permit Renewal,14,Kugongesha Kibali Upya,22,Residence,9,Vibali vya kukaa nchini muda mrefu,34,9,Recognised refugees may apply for permanent residence. You must have lived in SA for 5 years in a row as a recognised refugee. Consult the Immigration Act of 2002 for more info on the requirements for a permanent residence application. It is important to get a certificate from the Standing Committee for Refugee Affairs (SCRA) saying you will remain a refugee indefinitely. ,375,Mkimbizi anayo tambulika huwezi omba makaazi ya kidumu. Lazima uishi SA zaidi ya miaka 5 mbichi. Shauri uhamaji 2002 kwa maelezo zaidi ya ombi maazi ya kidumu. Ni muhimu kuwa na cheti cha  Standing Committee for Refugee Affairs (SCRA) ya kuamba muda usio julikana.,264,411,,,
,,,,Permit Renewal,14,Kugongesha Kibali Upya,22,Application,11,Mombi,5,11,"After 5 years of continuous refugee status, you can apply for permanent residence. Complete a certification application form from SCRA to confirm that you remain a refugee indefinitely. You can ask a legal counsellor like the LHR for help. This can take up to a year. Then submit the SCRA certificate and the documents required by the Immigration Act, to a regional DHA office (not RRO). Tip: Refugees don’t have to pay to submit a permanent residence application.",464,"Baada ya miaka 5  kuwa na hadhi ya ukimbizi, unaweza omba kibali cha kukaa muda mrefu .Jaza fomu ya kuomba cheti  kwa SCRA  kinahakikisha  kama utakuwa kimbizi kwa milele. Unaweza uliza washauri wa kisheria kama LHR usaidizi. Hii inaweza chukua mwaka moja. Alafu peleka cheti cha SCRA na hati maalum zinahitajiwa na ofisi ya uhamaji ya  DHA  (sio RRO) Mwanga: Wakimbizi hawafai kulipa kuomba kibali cha kukaa mdu mrefu.",419,500,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,72,,,,,,,,
,,,,Work,4,Kazi,4,Working,7,Kazi,4,7,Asylum seekers and refugees are allowed to seek employment with their valid permits and are not required to obtain an extra work visa for this purpose.,151,Waombaji wa ukimbizi na wakimbizi wana haki ya kutafuta kazi wakiwa na  kibali halali wala hawatakiwi kutafuta viza zaidi ya kikazi juu watumike.,145,187,,,
,,,,Work,4,Kazi,4,Own Business ,13,Mwenye Biashara,15,13,"Register your business at the CIPC. Find out if it needs a licence, obtainable at a municipality for a small fee. You need copies of your permit and maybe extra documents like Health & Safety (H&S) inspection certificates. Don’t bribe the official! When your business meets the requirements, you'll get a licence and may start trading. A H&S officer may inspect your business site. You need to follow H&S rules at all times. Check the licence expiry date and renew it on time.",476,"Sajili biashara yako na CIPC. Jua liseni kupata kwa municipality na bei nafuu. Unahitaji copy ya kibali na ziada kama afya & usalama (H&S) ukiguzi vyeti. Utapata liseni na uanze biashara. A H&S afisa aeza chunguza tovuti. Unajitaji H&S sheria kila wakati. Angalia tarehe ya liseni kabla kuanguka. Andikisha biashara yako katika CIPC . Uliza Kama inahitaji leseni, ambao inapatikana  katika manispaa kwa ada ndogo. Unahitaji nakala za kibali chako na nyaraka mbali mbali zaidi   kama  Vyeti vya ukaguzi wa Idara ya Afya na Usalama ( H & S ) . Usilipe rushwa! ! Wakati biashara yako inaeneza mahitaji yote , utapata leseni na unaweza kuanza biashara . Afisa wa H & S anaweza kukagua eneo la  biashara yako. Unahitaji kufuata  sheria za H&S wakati wote. Angalia leseni itaisha  tarehe gani na uifanye  upya  kwa wakati.",816,512,,,
,,,,Work,4,Kazi,4,Province Laws,13,Sheria za Jimbo,15,13,"Check the law of the SA province you want to trade in. KZN/Limpopo/Mpumalanga/North West: you need a licence with Health & Safety approval. Limp: licences are valid for 1yr. Renew 1 month before expiry or risk fine/imprisonment. KZN: you can't alter the building you trade in without permission. Mpum: Hawkers/peddlars/street vendors don’t need a licence, but need proof that their stall area is assigned to them. Gauteng: Contact LHR for a copy of the law. See ‘Useful Services’.",480,"Angalia sheria za biashara majimbo ya SA. KZN/Limpopo/Mpumalanga/North West unahitaji liseni inuruhusiwa na Afya &Usalama  . Limp: Liseni iko mwaka 1. Fanya Upya mwezi 1 kabla  iishe au utafainiwa/fugungwa. KZN: Huwezi  kubadilsha mjendo kwa biashara bila ruhusa.Mpum : wachuuzi wa mitaani hawana haja ya leseni, lakini haja uthibitisho kwamba walipewa  ruhusa ya kufanya biashara  katika maeneo hao . Gauteng : Wasiliana na  LHR kwa kupata nakala ya sheria . Ongalia 'Huduma Muhimu'.",484,516,,,
,,,,Work,4,Kazi,4,City By-Laws,12,Sheria ndogo ndogo za mji,25,12,"The laws of a municipality are called by-laws. By-laws control the way businesses and services work in that area. Know the by-laws of the municipality you want to trade in. Tip: It’s important to obey all the by-laws. If you don’t follow the by-laws, you may lose your goods or go to jail. For the relevant by-laws see: www.capetwon.gov.za; www.tshwane.gov.za, www.durban.gov.za, www.nelsonmandelabay.gov.za or www.joburg.org.za",428,"Sheria ya munisipaa inaitwa sheria ndogo ndogo za mji. Zinahusika na  biashara na huduma ya miji. Jua sheria ya munisipaa  unaofanyia biashara. Mwanga : Ni muhimu kutii sheria. Usipofuata sheria, unaweza poteza mali yako au kufungwa.Kwa sheria zianozohusika  ongalia: www.capetown.gov.za, www.tshwane.gov.za, www.durban.gov.za, www.nelsonmandelabay.gov.za au www.joburg.org.za",376,464,,,
,,,,Work,4,Kazi,4,Security/Teacher,16,Mlinzi / Mwalimu,,16,"SECURITY/CAR GUARD: You must register at PSIRA. Only SA nationals, permanent residents and refugees with immunity can work as guards. TEACHER: If you are a public school teacher you need to check your international teaching qualification with the SA Qualifications Authority (SAQA). The SAQA evaluation doesn’t guarantee you a job. Also register with SA Council for Educators (SACE). Go to www.sace.org.za for more info.",420,"MLINZI / MLINZI WA MAGARI : Lazima ujiandikishe katika PSIRA .  Raia wa SA , Wakazi   na wakimbizi  ambao wana kinga ya kudumu wanaweza kufanya kazi kama walinzi. MWALIMU : Kama wewe ni mwalimu wa shule za umma  unahitaji kuangalia  vyeti vyako vya kimataifa kama vinafaa katika Mamlaka SA Sifa ( SAQA ). Tathmini ya SAQA haina dhamana ya kukupa kazi.  Pia jiandikishe na  Baraza la waelimishaji SA( Saces ). Nenda www.sace.org.za kwa maelezo zaidi.",449,456,,,
,,,,Work,4,Kazi,4,Nurse,5,Muguuzi,7,5,Refugees with foreign nursing qualifications must register with the South African Nursing Council (SANC). Visit www.sanc.co.za for a list of all documents you'll need to submit.,177,Wakimbizi wenye fuzu wa uuguzi wasajili na South African Nursing Counsil (SANC). Nenda www.sanc.co.za kwa hati unasajili.,121,213,,,
,,,,Work,4,Kazi,4,Doctor,6,Daktari,7,6,"Medical doctors with refugee status can apply to register as doctors in SA. The Department of Health (DOH) employs foreign doctors with the right qualifications & experience in govt. hospitals. Register with the Foreign Workforce Management Programme on 012-312-0467 – you need a job offer from a govt. hospital or health dept. Apply for a formal endorsement from FWMP. With a job offer & endorsement, apply to register with the Health Professions Council of SA on 012-338-9350.",478,"Madaktari wakimbizi waeza kusajili udaktari SA. Idara ya Afya (DOH) huajiri madaktari wageni wenye sifa & uzoefu wa hospitali za serikali. Sajili na Foreign Workforce Managment Programme kwa 012-312-0467  upate kazi hospitali za  serakalini.  au Idara ya  afya. Omba mhuri kwa FWMP. Ukipata Kazi na mhuri,omba sajili na Health Professions Counsil of SA kwa  012-338-9350.",371,514,,,
,,,,Work,4,Kazi,4,Discrimination,14,Ubaguzi,7,14,"There are laws in SA that protect you from discrimination or unfair treatment when you are at work. Your employer can’t discriminate against you because you’re an immigrant. The law protects you from unfair treatment. The law also protects your minimum working hours, leave, salary and the way you are dismissed.",312,"Sheria SA inakataza ubaguzi au unyanyasaji kazini. Mwajiri hawezi kufanya ubaguzi kazini kwamba uko mgeni. Sheria hulinda wewe dhidi ya ubaguzi. Sheria pia inalinda wewe  masaa yako ya kazi, rikizo, mshahara na njia wewe ni ungefukuzwa kazini.",243,348,,,
,,,,Work,4,Kazi,4,UIF/CF claims,13,Madai ya UIF/CF,15,13,"You can claim from the UIF if you end up unemployed because you’re sick or have a baby. You need a 13-digit ID number to claim. If you are hurt or become infected with a disease at work and you end up being disabled, the Compensation Fund will pay out money. If you die because of your injuries, your dependants will get money. The Compensation Fund will help to pay the medical bills.",385,"Unaweza kudai kutoka UIF ukikaa bila ajira kwa sababu uko mgonjwa au ulijifungua. Unahitaji ID ya numbari13 ili udai.Kama uliambukizwa na magonjwa  kazini au  kuwa mlemavu, Mfuko wa fidia hulipa. Kama ukifa kwa sababu ya majeruha wategemezi watalipwa hela. Fedia ya fedha watalipa bili za matibabu.",298,421,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,144,,,,,,,,
,,,,Health,6,Afya,4,Your rights,11,Haki yako,9,11,You have the right to basic health and reproductive health care services in SA. You cannot be refused emergency medical treatment. Hospital workers don’t always know the rights of refugees and asylum seekers with valid permits. You can contact Lawyers for Human Rights if you have a problem accessing public health services.,324,Una haki ya afya uzazi afya huduma SA. Huweza kataliwa matibabu. Wafanyi kazi wa hospitali hawajui haki wakimbizi na ukimbizi wenye kibali halali. Unaweza pigia Lawyers for Human Rights kama unashida ya afya umma.,213,360,,,
,,,,Health,6,Afya,4,Health costs,12,Gharama za matibabu,19,12,"Refugees and asylum seekers pay the same fees as SA nationals. Your fee is determined by a means test, which determines how much your fee will be subsidised. If you don't have the right documents, you'll pay the highest fee. Take the following with you: ID; permit; appointment card; payslip/proof of salary; proof of address. Tip: Sick? Go to a clinic close to home first – if they can't help, they'll give you a letter for a hospital. In an emergency, go straight to hospital.",478,"Wakimbizi na Waombaji wa Ukimbizi hulipa ada moja na raia ya SA. Ada inaamuliwa baada ya mtihani, ambayo huamua ada ruzuku. Kama hauna hati, utalipa ada bei juu. Peleka pamoja nawe yafuatao: ID, kibali; kadi ya uteuzi ; karatasi ya mshahara au ushahidi wa mapato, anuani. Mwanga : Mgonjwa? Nenda kliniki-kama hawasaidie, watakupa barua, nenda hospitali.",353,514,,,
,,,,Health,6,Afya,4,Clinic/Hospital,15,Kliniki/Hospitali,17,15,"Clinics provide treatment/medicine, mostly free. Make an appointment at your nearest clinic, unless it’s an emergency. Take your valid Section 22/24 permit. If you’re still waiting for yours, ask an NGO for a letter (see ‘Useful Services’). To go to hospital, you need a letter from the clinic unless it’s an emergency. Can’t pay the public hospital fees? Get an affidavit from the police to explain, or contact an NGO. DON’T go to a private Dr/hospital if you can’t pay the fees.",480,"Kliniki hutoa matibabu/dawa,kwa bure. Fanya uteuzi kliniki ilio karibu na we. Chukua kibali cha  kifungu  22/24.Kama hujapata, uliza NGO wakupe  barua ( ona 'Huduma Muhimu'). Kwenda  hospitali  unahitaji  barua kutoka kliniki labda ni dharura. Huwezi lipa ada umma? Chukua barua chini ya kiapo kituoni au pigia NGO. USIENDE hospitali  binafsi kama huwezi lipa gharama yao.",372,516,,,
,,,,Health,6,Afya,4,Trauma Help,11,Msaada kiwewe,13,11,Suffering traumatic events (abuse/violence/natural disaster) can lead to Post-Traumatic Stress Disorder (PTSD). Signs of PTSD: struggling to sleep/concentrate; nightmares; flashbacks; anxiety; helplessness; fear. Share your story if you have PTSD. In counselling you’ll talk about your experience/feelings. Visit the Trauma Clinic in Joburg or Trauma Centre for Survivors of Violence & Torture in Cape Town. There are other trauma clinics in SA. See ‘Contact List’ for more info.,479,"Mateso ya matukio ya kumiza (unyanyasaji/vurugu/janga la asili) yanaweza kukuletea Kiwewe baada ya matukio  (PTSD). Dalili ya PTSD:Kukosa usingizi/ mawazo,jinamizi,kumbukumbu, wasiwasi,hofu .Kama una PTSD ongea na watu. Tembelea kliniki ya Joburg au Kituo cha waathirika wa kiwewe unyanyasaji &mateso mjini  Cape Town. Kuna klinki zingine za Kiwewe SA. Ona 'Orodha wasiliano' kwa maelezo zaidi.",394,515,,,
,,,,Health,6,Afya,4,HIV/Aids,8,Ukimwi(VVU),11,8,"HIV can go unnoticed for up to 10yrs. Know your status and get treatment sooner to help you lead a normal life. HIV weakens your body’s power to fight infections such as pneumonia. There is no cure. You can get HIV by having unprotected sex or using unsterilised needles/syringes. If you’re HIV+ and pregnant, your baby can get HIV in the womb, after birth or by breastfeeding. Tip: You can’t get HIV through casual contact, like working together, kissing, or sharing space.",474,"Ukimwi (VVU) unaweza kuenda bila kutambuliwa hadi miaka 10. Jua hali yako na pata matibabu mapema ili uishe maisha ya kawaida.VVU hudhoofisha mwili wako uwezo wa kupambana na maambukizi kama vile pneumonia, Hamna matibabu. Unaweza pata VVU ukifanya penzi bila kinga, kutumi  sindano chafu.Kama uko VVU+ na  mimba, ntoto anaweza kupata VVU tumboni, baada ya kuza au kumnyonyesha. Mwanga: Huwezi kupata VVU kwa kugusana, kufanya kazi pamoja, kumbusu au kuaa pamoja. ",464,510,,,
,,,,Health,6,Afya,4,HIV Testing,11,Kupimwa Ukimwi(VVU),19,11,"To know your HIV status you need to get a blood test, available at most public health centres. The test is free. You’ll receive counselling before and after your test. Sometimes two tests are done. You’ll know your status after 20 minutes. Your blood sample might have to go to a laboratory, these results take a few days. HIV tests are very accurate. Many organisations in SA offer HIV tests, counselling and treatment. Go to www.tac.org.za or the contact list for more info.

",478,"Kujua hali yako ya VVU ni lazima  upimwe damu katika vituo mbalimbali vya fya ya umma. Kupima damu ni bure. Pata ushauri kabla na baada ya kupimwa. Mara nyingine unapimwa mara mbili. Utajua hali yako baada ya dakika 20. Sampuli ya damu yako inaweza kupelekwa maabara, matokeo haya huchukua siku chache. Vipimo vya VVU ni sahihi. Mashirika mengi hupima  VVU , hushauri na hutoa matibabu hapa SA.Nenda www.tac.org.za au pigia listi ya mawasilano kwa habari zaidi.",461,514,,,
,,,,Health,6,Afya,4,PMTCT,5,PMTCT,5,5,Pregnant women with HIV should ask for Nevirapine at public health centres. It can prevent HIV infection during childbirth. Nevirapine is an antiretroviral drug (ARV). Go to the contact list or www.tac.org.za for info on centres with ARV treatments.,249,Wanawake wajawazito wenye VVU wanapaswa kuomba Nevirapine katika vituo vya afya vya umma. Zinaweza kuzuia maambukizi ya VVU wakati wa kujifungua. Nevirapine ni  madawa ya ukimwi (ARV) . Nenda kwenye orodha ya  kuwasiliana na orodha au www.tac.org.za kwa maelezo juu ya vituo vya matibabu ya ARV .,296,285,,,
,,,,Health,6,Afya,4,ARV Treatment,13,Matibabu ya ARV,15,13,Antiretroviral (ARV) treatment begins during a serious HIV-related illness or when your CD4 count drops below 350. Most people start ARV 8-10 years after infection. It isn’t the same for all. See a doctor and get the best treatment for you! Remember: It doesn’t matter what your permit/document status is – you are entitled to free ARV treatment.,346,Mgonjwa huanza ARV wakati anaumwa vibaya na ugonjwa unaohusiana na VVU au wakati CD4 yake inashuka chini 350. Watu wengi huanza ARV miaka 8-10 baada ya kuambukizwa. Sio sawa kwa wote . Muone daktari na upate matibabu bora kwa ajili yako! Kumbuka : Usijali  kibali chako au hati yako - una haki ya matibabu bure ARV .,316,382,,,
,,,,Health,6,Afya,4,Sexual Abuse,12,Unyanyasaji wa Kijinsia,23,12,"If you wish to report a rape, go straight to the police. Don’t shower, drink liquids or use the toilet – this helps with evidence. You CAN change clothes, but take along the clothes you were wearing. You don’t need to report it to get medical treatment. If HIV negative before the assault, you have a right to a 28-day course of antiretrovirals to prevent HIV, but must take it within 72hrs. Help/info: LoveLife 0800 121 900; AIDS Helpline 0800 01 23 22; AIDS Hotline 0800 11 0605",480,"Ukitaka ripoti kubakwa, nenda moja kwa polisi. Usioge , usikunywe vinywaji au utumie choo - hii husaidia kwa Ushahidi . Wewe unaweza  badilisha nguo , lakini nenda pamoja na zile ulikuwa unavaa. Huna haja ya ripoti hiyo juu upewe matibabu. Kama ulikuwa huna VVU kabla ya kushambuliwa, una haki kupewa mwendo wa madawa ya kurefusha maisha na kuzuia VVU kwa  siku 28 , lakini ni lazima kuachukua  ndani ya masaa 72 . Msaada / maelezo : Lovelife 0800 121 900 ; UKIMWI Helpline 0800 01 23 22; UKIMWI Hotline 0800 11 0605",516,516,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,143,,,,,,,,
,,,,Education,9,Elimu,5,Your rights,11,Haki zako,9,11,Everyone has the right to basic education in SA. You must have a valid study permit to study in SA. In SA on another valid permit? Check first if your permit allows you to study in SA. Some conditions might apply.,213,Kila mtu ana haki ya kupata elimu ya msingi  katika SA . Lazima uwe na kibali  halali cha kusoma nchini SA . Je una una kibali kingine halali Katika SA ? Angalia kibali chako  kwanza kama  kinakuruhusu kusoma nchini SA. Baadhi masharti  ambao anaweza kukuzuia.,260,249,,,
,,,,Education,9,Elimu,5,School,6,Shule,5,6,"A creche is a preschool daycare centre for ages 1-6. Primary school: 7-13. Secondary school (academic or technical): 13-19. If you can't pay the fee, ask to work in exchange for a cheaper fee. Your child must have a visa and passport to be in SA. Children in SA must go to school – it’s the law. Tip: School age groups are flexible, so a child might be older than their classmates, but most government schools don't allow students to be 2yrs older than the grade’s age group.",475,"Creche in shule ya miaka 1-6. Shule ya msingi  7-13.Shule ya Sekondari (taalamu au kiufundi): 13-19. Kama huwezilipa ada, Uliza kufanya kazi badala  bei nafuu. Mtoto lazima awe na viza na pasipoti kuishi SA. Lazima watoto wende shule-ni sheria. Mwanga: Umri wa makundi shuleni ni rahisi, hivyo mtoto anaweza kuwa na umri mkubwa kuliko wenzake, lakini shule nyingi za serikali haziruhusu wanafunzi kuwa miaka 2 zaidi ya umri wa daraja.",434,511,,,
,,,,Education,9,Elimu,5,Application,11,Maombi,6,11,"Asylum & refugee kids have the same right to primary education as SA kids. Register for a primary school closest to your house. English not good? Take a friend with who can help. Schools get full quickly so apply early (from July). If the school closest to your house is full, the school must show you another school that can help. If you struggle to register, the school close to your house must refer you to the Dept. of Education (DOE). If the school refuses admission, ask for a letter on their letterhead signed by the principal and take it to the DOE. Still can’t find a school? Contact a social service provider for education or LHR. More info on the contact list.",671,"Watoto wa waombaji wa kimbizi &wakimbizi wana haki ya masoma  ya msingi kama watoto wa SA..Sajili katika shule za msingi  karibu na we. Chukua rafik mabe anaweza kukusaidia. Shule zinajaa haraka omba mapema (kutoka July). Kama shule imejaa, watakuonyesha  shule nyingine ya kukusaidia .Kama inashindikana karibu nawe, watakutuma kwenye  Idara ya Elimu ( kusajili mtoto , omba barua ambo inasainiwa na mkurugenzi uipeleke DOE. Kama bado hupati shule ? Wasiliana na na mfanyakazi wa kutoa huduma za elimu au LHR.Angalia kwe Orodha ya mawasiano kupata habari zaidi.",562,707,,,
,,,,Education,9,Elimu,5,Tips,4,Mwanga,6,4,"The parent or legal guardian must register the child. Give your family’s contact details: physical address, postal address and telephone numbers. Provide the school with certified copies of the child and/or parent’s permit and the child’s inoculation certificate. If you don’t have an inoculation certificate you must get one within 3 months from the local municipal clinic.",374,"Mzazi au mlezi asajili mtoto. Patia familia mawasiliano: anuani, anuani posta na numbari simu. Kutoa na kuthibitishwa copies ya mtoto/ mzazi kibali cha chanjo. Kama hauna chanjo cha mtoto lazima upate na miezi 3 kwa local munisipaa klink.",238,410,,,
,,,,Education,9,Elimu,5,School fees,11,Ada ya shule,12,11,"If you can’t pay school fees, ask the school to reduce them by completing an exemption form. You must show proof of income (payslip/affidavit/letter of support) & give info on your expenses & responsibilities. Apply for exemption at the start of each term. Keep all letters & appointments with the school. If you ignore notices the school can make you pay. Find a NGO in the contact list for help with the form. Uniforms & learning materials also cost money. If you can’t afford a uniform, your child can wear clothes that resemble it, but must still go to school. Second-hand uniforms are cheaper. Ask at the school. You shouldn’t pay a registration fee. Public schools can’t ask your child to leave if you can’t pay.",718,"Kama lipa ada ya shule, uliza wakupunguzie fomu. Lazima ushahidi ya (payslip/kiapo/burua msaada) & majukumu. Omba msamaha. Weka barua zote&uteuzi ya shule. Ukipuuza unaweza lipa. Pigia NGO kusadia na sare. Kama mtoto hana sare avae inayo fanana. Uliza shule. Kama hujalipa kusajili. Shule ya umma hawaezi kuliza hela.",317,754,,,
,,,,Education,9,Elimu,5,Special needs,13,Mahitaji maalum,15,13,Children with special learning needs can go to a special education school. Contact the Department of Education and ask about schools. Placing your child in a special education school is a long process. Get your child on a waiting list as soon as possible.,255,Watoto wenye mafunzi maalum unaweza enda shule maalum. Pigia Department of Education na ulize shule zao. Kupeleka mtoto wako shule maalum ni mchakato. Patia mtoto wako listi ya kuongoja haraka.,193,291,,,
,,,,Education,9,Elimu,5,University,10,Chuo kikuu,10,10,"You can study at a university to further your education or change your education from your home country to a SA degree. A university degree can help you to get into the SA job market. As a refugee, tertiary education is not guaranteed. You can apply to study at a university or technikon. A technikon is a university of technology with more practical training. Contact the international student office at your chosen university or technikon. Ask for info about their standards.",477,Unaweza soma university kuzidisha elimu yako au kubadilisha elimu ya nyumbani kama degree. Univerity huweza kusadia kuendeleza kuwa kazi. Mkimbizi elimu sio uhakika. Unaweza omba university au ufundi. Ufundi ni shule ya vitendo. Pigia international student office uliochagliwa university au ufundi. Uliza maelezo zaidi.,319,513,,,
,,,,Education,9,Elimu,5,Uni. Tips,9,Mwanga wa Chuo kikuu,20,9,"You must pay international registration & local tuition fees. Submit the completed SAQA form with SAQA-certified copies of your academic records. Process can take 3 months. Prove your English proficiency by taking a TOEFL, IELTS or PTEEP test. Scholarship funding & info available online or at the uni/tech’s info desk. UNHCR offers a Dafi Scholarship for refugees under 28yrs who’ve completed secondary education (not for postgrad). See ‘Useful Services’ for info & requirements.",480,"Utalipa  ada za kimataifa & ada za mitaa kujisajili shuleni. Wasilisha fomu iliyokamilika  pamoja na SAQA - nakala zilizothibithishwa za  rekodi zako za kitaaluma . Mchakato inaweza kuchukua miezi 3 . Thibitisha ustadi wako Kiingereza kwa kuchukua mthihani ya  TOEFL , IELTS au PTEEP. Udhamini fedha & maelezo inapatikana online au katika  ofisi za maelezo za vyuo vikuu / vyuo fundi. UNHCR inatoa Dafi Scholarship kwa wakimbizi chini ya miaka 28 walipomaliza Elimu ya Sekondari ( si shahada ya juu ). Angalia ' Huduma muhimu ' kwa maelezo & Mahitaji .",552,516,,,
,,,,Education,9,Elimu,5,Adult Ed.,9,Elimu za watu wazima,20,9,Some NGOs and refugee communities offer adult education to refugees and asylum seekers. Most adult education programmes are free. Some training centres offer English language courses. Self-help programmes and skills training can be important for job seekers. Adult education programmes also encourage social integration in SA. See ‘Useful Services’ for more info.,363,NGO na jamii ya wakimbizi husaida watu wazima na elimu ya bure. Mipango ya elimu in bure. Mahali pengine hupeana lugha ya kingereza. Mipango ya kujisaidia na mafunzo ni muhimo wanaotafuta kazi. Mipango ya husaidia mashirikiano SA. Ona 'Huduma Muhimu' maelezo zaidi.,265,399,,,
,,,,,,,,Back,4,,0,4,,,,,,,,
,,,,,,,,,,Rudi,,129,,,,,,,,
,,,,Eat/Sleep/Bank,14,Kula/Kulala/Benki,17,Your rights,11,Haki zako,9,11,"You have the right to food, water and housing. Some organisations can help vulnerable asylum seekers and refugees with this. Remember: Help is limited and for a short time only. You will be expected to support yourself soon afterwards. Some churches and religious centres run soup kitchens or provide help to asylum seekers and refugees. See ‘Useful Services’  for more info on these churches and religious centres.",415,"Unahaki ya chakula,maji na makaazi. Organisation husaidia mlemavyo na wakimbizi kwa hii. Kumbuka usaidizi ni kwa muda. Unahitaji kujisaida kibinafsi. Kama kanisa na centa ya dini hutoa usaidizi kwa wakimbizi. Ona 'Huduma Muhimu' maelezo ya hii kanisi centa ya kidini.",267,451,,,
,,,,Eat/Sleep/Bank,14,Kula/Kulala/Benki,17,Accommodation,13,Malazi,6,13,"Some NGOs might help you find short-term solutions, like a shelter or place for the homeless. See ‘Useful Services’ for info. Ask other refugees and asylum seekers for info on accommodation. Check local newspapers for ads. Estate agents can charge a fee. Rent is paid at the beginning of the month. You might have to pay a deposit (a month’s rent) before you can move in. If possible, sign a contract with your landlord. Ask him/her what they expect of you as a tenant.",469,"NGO hupatian ufumbizi wasio na makaazi.Ona 'Huduma Muhimu' maelezo. Uliza wakimbizi kwa maelezo makaazi.Angia gazeti matangazo. Makala hulipa ada. Koli hulipwa. Unafaa kuliapa amana (miezi) kabla kuingia. Ikiwezekana,saini mwenye nyumba. Uliza magizo kama wewe mpangaji.",270,505,,,
,,,,Eat/Sleep/Bank,14,Kula/Kulala/Benki,17,Evictions,9,Kufukuzwa,9,9,The law also protects refugees and asylum seekers from unlawful evictions. The landlord must have a court order before he can evict you. Remember: only a court can force you to leave. The landlord cannot threaten you or use force to remove you from the property. Contact the Rental Housing Tribunal on 011-630-5035 or 0800-046-873 if there’s a dispute or if you feel you’ve been unfairly treated.,396,Sheira hulinda wakimbizi kinyume cha sheria. Mwenye mali awe na mahakama kabla kukutoa. Kumbuka. Mahakana ina nguvu kuondoa. Mwenye mali hawezi kukutishia kukufuza kwa mali yake. Pigia Rental Housing Tribunal kwa 011-630-5035 au ,229,432,,,
,,,,Eat/Sleep/Bank,14,Kula/Kulala/Benki,17,Bank problems,13,Matatizo ya Benki,17,13,"It may be difficult to open a bank account in SA. Banks don’t always know the rights of refugees and asylum seekers with valid permits. They may refuse to open bank accounts. Asylum seekers can use their temporary asylum seeker permit as identification. Refugees can use their refugee permit or refugee ID. FNB, Standard Bank and Nedbank accept asylum seekers and refugees. Ask other refugees which bank in your area is refugee-friendly.",437,"Ni vigumu kufunguwa akaunti ya benki SA. Benki hawajui haki ya wakimbizi wenye kibali halali. Wanaeza kataa kukufungulia akaunti. Wakimbizi wanaeza kutumia vibali vyao kufungua akaunti . Wanatumia vibali vya hifadhi au ID vitambulisho. Benki kama FNB,Standard Bank na Nedbank wanasaidia wakimbizi. Uliza marafiki benki katika eneo lako ambao zinakaribisha wakimbizi.",366,473,,,
,,,,Eat/Sleep/Bank,14,Kula/Kulala/Benki,17,Bank account,12,Akauti ya Benki,15,12,"You must be 16 years or older with a valid permit or refugee ID. You must hand in a proof of residence: a rental contract, telephone bill or utility bill in your name. You need to prove your income with a payslip or affidavit. You also need a small amount of money to put in your bank account. Even if you have the right documents, the bank may decide if they want to give you an account or not. You can also ask a legal counsellor to help you open a bank account.",464,"Lazima uwe na umri wa miaka 16 na kibali au ID. Uwe na ushahidi wa anuani, mkataba wa kodi,bili ya simu, bili shirika kwenye majina yako. Ushahidi wa  mapato  au kiapo. Unahitaji pia pesa kwa benki. Kama una hati sahihi, benki itamua kukupa akauntu. Unaeza uliza pia mshauri kisheria usaidizi wa  kufungua akaunti ya benki.",323,500,,,
,,,,Eat/Sleep/Bank,14,Kula/Kulala/Benki,17,Other options,13,Chaguzi Nyingine,16,13,Savings and credit co-operatives often open up bank accounts for refugees. They operate as credit unions. Credit unions are groups of people who save together and lend money to each other. They don’t operate as ordinary banks.,226,Akiba na ushirika hufungulia wakimbizi akaunti.vyama ya mikopo. Vinatumika kama Vyama mikopo.Ni makundi ya  watu huweka akiba na kukopesha pesa pamoja. Hawatumiki kama benki za kawaida.,185,262,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,103,,,,,,,,
