Step 1: Applying for Asylum,27,Etape 1:Faire une demande d' asile ,35,Applying for Asylum,19,"Demande d""asile",15,,,,,,,,,,,,,
,,,,Work,4,Travail,7,Own Business ,13,"Travail lindépendant
",21,13,"Register your business at the CIPC. Find out if it needs a licence, obtainable at a municipality for a small fee. You need copies of your permit and maybe extra documents like Health & Safety (H&S) inspection certificates. Don’t bribe the official! When your business meets the requirements, you'll get a licence and may start trading. A H&S officer may inspect your business site. You need to follow H&S rules at all times. Check the licence expiry date and renew it on time.",476,Enregistrer votre business à la CIPC. Informez-vous s'il faut une licence delivré par la municiplaité pour un peu d'ragent.vous aurez besoin d'un copie de votre permis et les autres  documents exigés tels que le certificat d'inspection sur la Santé et Securité. Ne corrompez pas un officier lorsque votre business répond à toutes les conditions. Vous aurez votre licence et commencer ez le business. Un officier de Santé & Securité/H&S  pourra inspecter l' emplacement de votre business. Veuillez respecter les lois de H&S. Renouvellez votre permis quand ça expire.  ,567,512,,,
,,,,Work,4,Travail,7,Province Laws,13,Lois des provinces,18,13,"Check the law of the SA province you want to trade in. KZN/Limpopo/Mpumalanga/North West: you need a licence with Health & Safety approval. Limp: licences are valid for 1yr. Renew 1 month before expiry or risk fine/imprisonment. KZN: you can't alter the building you trade in without permission. Mpum: Hawkers/peddlars/street vendors don’t need a licence, but need proof that their stall area is assigned to them. Gauteng: Contact LHR for a copy of the law. See ‘Useful Services’.",480," Informez-vous sur la loi provinciale de RSA de votre businsees anticipé. KZN/Limp/Mpum/NW:  un permis/ un certificat / licence de la H&S. Limp: Un permis de 1 ans renouvelable 1 mois avant son expiration si non, vous risquez l'emrisonement ou amendes. KZN: ne pas modifier sans permission l' immeuble où est basé votre commerce. Mpum: les colpolteurs/vendeurs/venduers de rue n' ont pas  besoin de licence mais doive avoir l'evidence de leur appartement du post de vente. Gauteng: Contactez LHR pour une copie des lois.Voir Services Utiles.  ",543,516,,,
,,,,Work,4,Travail,7,City By-Laws,12,Reglementations de la Cité,26,12,"The laws of a municipality are called by-laws. By-laws control the way businesses and services work in that area. Know the by-laws of the municipality you want to trade in. Tip: It’s important to obey all the by-laws. If you don’t follow the by-laws, you may lose your goods or go to jail. For the relevant by-laws see: www.capetwon.gov.za; www.tshwane.gov.za, www.durban.gov.za, www.nelsonmandelabay.gov.za or www.joburg.org.za",428,"Par-Lois/By-laws: c'est la lois de la municipalité, qui y controle les affaires & services. Il faut s'informer de ces lois avant d'y faire le business.Conseil: Il est important de respecter ces lois si non, vous risquez l'emprisonement ou la perte de vos biens.Pour plus d' info sur ces lois, voir: www.capetown.gov.za  www.tshwane.gov.za, www.durban.gov.za,www.nelsonmandelabay.gov.za ou www.joburg.org.za ",407,464,,,
,,,,Work,4,Travail,7,Security/Teacher,16,Sécurité/Enseignant,19,16,"SECURITY/CAR GUARD: You must register at PSIRA. Only SA nationals, permanent residents and refugees with immunity can work as guards. TEACHER: If you are a public school teacher you need to check your international teaching qualification with the SA Qualifications Authority (SAQA). The SAQA evaluation doesn’t guarantee you a job. Also register with SA Council for Educators (SACE). Go to www.sace.org.za for more info.",420,"Les officiers de sécurité ou gardiens des voitures doivent se faire enregistrer avec PSIRA.Les citoyens de la RSA, résidents peprmanents et réfugiés exemption peuvent travailler comme guardes.Les enseignants des écoles publiques devront évaluer leurs diplômes avec SAQA et vous faire enrigistrer avec le Conseil sud-africain des Educateurs /SACE.Cette évaluation ne vous guarrantit pas du travail.Visitez: www.sace.org",418,456,,,
,,,,Work,4,Travail,7,Nurse,5,Infirmier,9,5,Refugees with foreign nursing qualifications must register with the South African Nursing Council (SANC). Visit www.sanc.co.za for a list of all documents you'll need to submit.,177,Les réfugiés ayant des diplômes d' infirmier étrangers devront être enregistrés à la SANC.Visitez: www.co.za Pour la list de tous documents à présenter. ,153,213,,,
,,,,Work,4,Travail,7,Doctor,6,Docteur,7,6,"Medical doctors with refugee status can apply to register as doctors in SA. The Department of Health (DOH) employs foreign doctors with the right qualifications & experience in govt. hospitals. Register with the Foreign Workforce Management Programme on 012-312-0467 – you need a job offer from a govt. hospital or health dept. Apply for a formal endorsement from FWMP. With a job offer & endorsement, apply to register with the Health Professions Council of SA on 012-338-9350.",478,"Les refugés - idocterus en medecine peuvent demander l'enregistrement en RSA.Le DOH emploi les docteurs étrangers ayant des bonnes qualifications & expérience dals les hôpitaux  ou gouvernements.Enregistrez-vous au FWMP sur 0123120467. Vous avez besoin de l'offre d'emploi du gouvernement, hopital ou depaartement de la santé. Faites la demande de la reconnaissance formelle pour vous faire enregistrer  avec le  Conseil de Profession Médicale en RSA sur 0123389350.  ",468,514,,,
,,,,Work,4,Travail,7,Discrimination,14,Discrimination,14,14,"There are laws in SA that protect you from discrimination or unfair treatment when you are at work. Your employer can’t discriminate against you because you’re an immigrant. The law protects you from unfair treatment. The law also protects your minimum working hours, leave, salary and the way you are dismissed.",312,"Il y a des lois qui vous protègent en milieu de tavail contre la discrimination et le traitement injuste au travail. Votre employeur ne peut pas vous discriminer par ce que vous etes immigrant.Les lois vous y protègent ainsi que vons heures minimum de travail, jours de congé , salaire et voies de votre renvoi du travail.",322,348,,,
,,,,Work,4,Travail,7,UIF/CF claims,13,Réclamations de l' UIF/CF,25,13,"You can claim from the UIF if you end up unemployed because you’re sick or have a baby. You need a 13-digit ID number to claim. If you are hurt or become infected with a disease at work and you end up being disabled, the Compensation Fund will pay out money. If you die because of your injuries, your dependants will get money. The Compensation Fund will help to pay the medical bills.",385,"Vous pouvez reclamer votre frais de chomage/UIF si votre travail est terminé ou si vous avez un nouveau-né.Vous besoin d'un ID de 13 chiffres pour faire cela. Si un accident vous arrive au travail et que vous êtes touchés ou infectés ou devenez invalide, le Fond de Compensation vous payera quelques frais. En cas de décès vos dépendants recevront de l' argent.Le fond de compensation payera les frais medicaux.",411,421,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,144,,,,,,,,
,,,,Health,6,Santé,5,Your rights,11,Vos droits ,11,11,You have the right to basic health and reproductive health care services in SA. You cannot be refused emergency medical treatment. Hospital workers don’t always know the rights of refugees and asylum seekers with valid permits. You can contact Lawyers for Human Rights if you have a problem accessing public health services.,324,Vous avez droit aux soins médicaux de base et  soins de reproduction en RSA. On peut pas vous refuser les soins medicaux urgents. Les travailleurs des hôpitaux sont parfois sous informés sur les droits des refugiés et demandeurs d'asyle ayant un permis valide.Veuillez contacter LHR si vous avez des problemes d' avoir accès aux soins médicaux. ,345,360,,,
,,,,Health,6,Santé,5,Health costs,12,Coûts de santés,15,12,"Refugees and asylum seekers pay the same fees as SA nationals. Your fee is determined by a means test, which determines how much your fee will be subsidised. If you don't have the right documents, you'll pay the highest fee. Take the following with you: ID; permit; appointment card; payslip/proof of salary; proof of address. Tip: Sick? Go to a clinic close to home first – if they can't help, they'll give you a letter for a hospital. In an emergency, go straight to hospital.",478,"Les refugiés et demandeurs d'asyle payent autant d'argent que les citoyens de la RSA. Vos frais sont déterminés par un test. Si vous n' avez pas de bon document vous payez chèr. Apportez votre: ID, permis, carte de RDV, fiche de paye, preuve de domicile. Malade? Allez dans une clinique proche de vous ou à l' hôpital si votre cas est urgent.",342,514,,,
,,,,Health,6,Santé,5,Clinic/Hospital,15,Clinique/Hopital,16,15,"Clinics provide treatment/medicine, mostly free. Make an appointment at your nearest clinic, unless it’s an emergency. Take your valid Section 22/24 permit. If you’re still waiting for yours, ask an NGO for a letter (see ‘Useful Services’). To go to hospital, you need a letter from the clinic unless it’s an emergency. Can’t pay the public hospital fees? Get an affidavit from the police to explain, or contact an NGO. DON’T go to a private Dr/hospital if you can’t pay the fees.",480,"Aux cliniques les medicaments sont souvent gratuits. Faites un rendez-vous au clinic qui vous est proche, sauf si c'est l'urgence. Apportez votre permis Section 22/24. Si en attente du permis; contactez une ONG pour une lettre (voir 'Services Utiles'. Vous avez besoins d'une lettre pour aller a l'hopital sauf si c'est l'urgence. Sii vous ne pouvez payer les frais des hopitaux publiques, faites un affidavit à la police pour expliquer ou contactez une ONG.  N'allez pas au Docteurs privé si vous ne pouvez pas payer.",518,516,,,
,,,,Health,6,Santé,5,Trauma Help,11,Assistance Trauma ,18,11,Suffering traumatic events (abuse/violence/natural disaster) can lead to Post-Traumatic Stress Disorder (PTSD). Signs of PTSD: struggling to sleep/concentrate; nightmares; flashbacks; anxiety; helplessness; fear. Share your story if you have PTSD. In counselling you’ll talk about your experience/feelings. Visit the Trauma Clinic in Joburg or Trauma Centre for Survivors of Violence & Torture in Cape Town. There are other trauma clinics in SA. See ‘Contact List’ for more info.,479,"Traumatisés suites à certains évènements peut conduire au SSPT/PTSD: Singes de PTSD: problemes de dprmir, concentration, cauchemar et autres.Partager votre histoire si vous avez PTSD. Lors des conseils sociaux, vous parlerez de vos experiences, état emotionelle. Visitez: Le Centre de Trauma à JHB ou le Centre de Trauma pour les Rescapés de la Violence ou Torture au Cape Town. Il y a en RSA des autres cliniques de trauma. Voir la 'Liste de Contact' pour plus d' info.",470,515,,,
,,,,Health,6,Santé,5,HIV/Aids,8,VIH/Sida,8,8,"HIV can go unnoticed for up to 10yrs. Know your status and get treatment sooner to help you lead a normal life. HIV weakens your body’s power to fight infections such as pneumonia. There is no cure. You can get HIV by having unprotected sex or using unsterilised needles/syringes. If you’re HIV+ and pregnant, your baby can get HIV in the womb, after birth or by breastfeeding. Tip: You can’t get HIV through casual contact, like working together, kissing, or sharing space.",474,"Le VIH peut vivre caché pendant environ 10 ans. Il faut connaitre votre statut et prendre le traitement pontuellement pour vontre santé. VIH affaiblit la force de votre corps pour lutter contre les infections comme la pneumonie. Il n y a pas de remède pour le VIH.L' infection se transmet par  le sang, comme lors de l'injection sans sterilisation du matériel ou avour les relations sexuelles sans protection. Si vous êtes VIH+ enceintes , votre enfant peut être infécté dans le ventre, après sa naissance et par le lait maternel. Conseil: Vous n' êtes pas infectés par le VIH par un contact ordinnaire comme marcher ensemble, baiser ou le partage de l'espace.",660,510,,,
,,,,Health,6,Santé,5,HIV Testing,11,Le test du VIH,14,11,"To know your HIV status you need to get a blood test, available at most public health centres. The test is free. You’ll receive counselling before and after your test. Sometimes two tests are done. You’ll know your status after 20 minutes. Your blood sample might have to go to a laboratory, these results take a few days. HIV tests are very accurate. Many organisations in SA offer HIV tests, counselling and treatment. Go to www.tac.org.za or the contact list for more info.

",478,"Vous puvez connaitre votre statut sur le VIH par un test de sang, disponible dans tant de centre de santé. Le teste est gratuit. Vous aurez des conseils avant et apres le l'examen. Souvent on fait 2 examens. Les résultats sortent dans les 20 min. L' échantillon de votre sang pourrait aller au laboratoire, et les résultats sortent après quelques jours.Les examens de VIH sont précis.Plusieurs organisations offrent le test de VIH,counselles sociaux et traitement.Visitez: www.tac.org.za ou La List de Contact pour plus d'info.",527,514,,,
,,,,Health,6,Santé,5,PMTCT,5,PTME,4,5,Pregnant women with HIV should ask for Nevirapine at public health centres. It can prevent HIV infection during childbirth. Nevirapine is an antiretroviral drug (ARV). Go to the contact list or www.tac.org.za for info on centres with ARV treatments.,249,"Femmes enceintes avec VIH doivent etre traitées avec la Névirapine, disponible aux centre de senté gouvernementaux et protegent l'enfant contre l'infection du VIH los de la naissance. Le neverapine est un  antirétroviral (ARV), Voir la list de contact/www.tac.org.za ",267,285,,,
,,,,Health,6,Santé,5,ARV Treatment,13,Traitement de ARV,17,13,Antiretroviral (ARV) treatment begins during a serious HIV-related illness or when your CD4 count drops below 350. Most people start ARV 8-10 years after infection. It isn’t the same for all. See a doctor and get the best treatment for you! Remember: It doesn’t matter what your permit/document status is – you are entitled to free ARV treatment.,346,"Le traitement de l' ARV commence pendant que les malidies liées au VIH manifestent les faiblesses et les CD4 chuttent à 350. L' ARV peut commencer  8-10 ans après l' infection pour certain. Consultez le médecin pour votre bonne traitement.Cela ne dépend pas de votre genre de permis , vous avez droit au traitement d' ARV gratuit.",330,382,,,
,,,,Health,6,Santé,5,Sexual Abuse,12,Abus sexuel,11,12,"If you wish to report a rape, go straight to the police. Don’t shower, drink liquids or use the toilet – this helps with evidence. You CAN change clothes, but take along the clothes you were wearing. You don’t need to report it to get medical treatment. If HIV negative before the assault, you have a right to a 28-day course of antiretrovirals to prevent HIV, but must take it within 72hrs. Help/info: LoveLife 0800 121 900; AIDS Helpline 0800 01 23 22; AIDS Hotline 0800 11 0605",480,"Si vous voulez reported la violence sexuelle, allez à la police avec les preuves de la scène. Ça vous aide pour le procès. Vous pouvez changer les habits mais prenez avec vous ce que vous etiez habillés lors de l'incident avec vous; vous n'avez pas besoin de raporter ceci pour avaoir les soines medicaux. Si vous êtiez VIH negatve avant le viole, vous avez droit 28 jours pour un traitement d' ARV dans les 72 heurs de l'incindent pour prévenir le VIH. Informez-vous à: Lovelife: 0800121900;AIDS ' Ligne d'assistance: 0800 01 2322/ 0800 11 0605",545,516,,,
,,,,,,,,Back,4,Retournez,9,4,,,,,,,,
,,,,,,,,,,,,143,,,,,,,,
,,,,Education,9,Education,9,Your rights,11,Vos droits,10,11,Everyone has the right to basic education in SA. You must have a valid study permit to study in SA. In SA on another valid permit? Check first if your permit allows you to study in SA. Some conditions might apply.,213,Toute persopnne a droit a l'education en RSA. Vous devez avoir un permis d' étude valide en RSA ou un autre permis acceptable par la oi. En RSA avec in autre genre de permis? Vérifiez si ça vous permet d' étudier en RSA. Il peut y avoir quelques conditions à appliquer.,269,249,,,
,,,,Education,9,Education,9,School,6,Ecole,5,6,"A creche is a preschool daycare centre for ages 1-6. Primary school: 7-13. Secondary school (academic or technical): 13-19. If you can't pay the fee, ask to work in exchange for a cheaper fee. Your child must have a visa and passport to be in SA. Children in SA must go to school – it’s the law. Tip: School age groups are flexible, so a child might be older than their classmates, but most government schools don't allow students to be 2yrs older than the grade’s age group.",475,"La creche / creche est pour les enfants de 0 - 6ans, école primaire, de 7-13 ans et le secondaire 13 - 19 ans. Si vous ne pouvez pas payer les frais scolaires, demandez à l' école d' y travailler pour couvrer les frais pour votre enfant. L' enfant devra avoir unvisa ou passeport valide en RSA pour étudier.  En RSA, c'est une loi pour l'enfat d'aller a l'ecole. Conseil: l'age de l'ecole pour l'enfant est flexible. Ainsi les enfants de different age peuvent etre dans une meme classe. Les écoles publiques ne permettent pas que l' enfant sois plus âgé de 2ans que ses camarades de classes.",591,511,,,
,,,,Education,9,Education,9,Application,11,Demande,7,11,"Asylum & refugee kids have the same right to primary education as SA kids. Register for a primary school closest to your house. English not good? Take a friend with who can help. Schools get full quickly so apply early (from July). If the school closest to your house is full, the school must show you another school that can help. If you struggle to register, the school close to your house must refer you to the Dept. of Education (DOE). If the school refuses admission, ask for a letter on their letterhead signed by the principal and take it to the DOE. Still can’t find a school? Contact a social service provider for education or LHR. More info on the contact list.",671,"Les enfants -refugiés et les demandeurs d'asyle ont les memes droits a l'education de base que les enfants sud-africains. Faites les enregistrer à l' école primaire proche de vous. Prenez l'ami pour vous aider si votre anglais n'est pas bonne. Les inscriptions  commencent en juillet. S' il vous est difficile d' obtenir l'admission de l' enfant dans une école proce de vous, demander au directeur de l'ecole un lettre formelle pour cela et contactez le DOE. si cela ne marche pas, approchez le pourvoyeiur des services sociaux ou LHR. Pour plus d'info, voir la liste des contacts.",581,707,,,
,,,,Education,9,Education,9,Tips,4,Conseils,8,4,"The parent or legal guardian must register the child. Give your family’s contact details: physical address, postal address and telephone numbers. Provide the school with certified copies of the child and/or parent’s permit and the child’s inoculation certificate. If you don’t have an inoculation certificate you must get one within 3 months from the local municipal clinic.",374,"Les parents/guardiens devront enregistrer l' enfant.Donnez vos détails de contact de votre famille. Remettez à l' école une copie certifiée de l' enfant et /ou des parents et le certficat de vaccination.Vous pouvez obtenir la carte de vaccination, si vous n'en avez pas, dans les 3 mois dans une clinique locale de la municipalité. ",332,410,,,
,,,,Education,9,Education,9,School fees,11,Frais scolaires,15,11,"If you can’t pay school fees, ask the school to reduce them by completing an exemption form. You must show proof of income (payslip/affidavit/letter of support) & give info on your expenses & responsibilities. Apply for exemption at the start of each term. Keep all letters & appointments with the school. If you ignore notices the school can make you pay. Find a NGO in the contact list for help with the form. Uniforms & learning materials also cost money. If you can’t afford a uniform, your child can wear clothes that resemble it, but must still go to school. Second-hand uniforms are cheaper. Ask at the school. You shouldn’t pay a registration fee. Public schools can’t ask your child to leave if you can’t pay.",718,"Si vous ne pouvez payer les frais scolaires, demandez les formaulaires d'exemption disponible a l'ecole et completez-les. Vous devez produire une preuve de vos revenus (bulletin de payment, declaration, lettre etc) & donner l'info sur vos depenses & responsabilités. Postuler pour l'exemtion a chaque debut du trimestre. Garder l'evidence de rendez-vous, lettres avec l'ecole.  Si vous ingoez les avis, l'ecole peut vous faire payer. Une ONG - voir sur la liste des contacts - peut supporter les études  (uniformes, materiel scolaire, minerval etc). Si vous ne pouvez pas payer l'uniforme, votre enfant peut porter les habits de la meme couleur mais doit aller etudier. Ne ne devriez payer les frias d'inscription.Les écoles publiques ne réfuse pas  l' enfant quand vous ne pouvez pas payer.",791,754,,,
,,,,Education,9,Education,9,Special needs,13,Besoins spéciaux,16,13,Children with special learning needs can go to a special education school. Contact the Department of Education and ask about schools. Placing your child in a special education school is a long process. Get your child on a waiting list as soon as possible.,255,"Les enfants avec les besoins speciaux vont dans des écoles appropriées.Sur ce, contactez le DOE à propos des écoles.Enregistrer l' enfant dans une telle école spéciale est un long procéssus.Faites enregistrer votre enfant sur la liste d' attende le plutôt possible.",265,291,,,
,,,,Education,9,Education,9,University,10,Université,10,10,"You can study at a university to further your education or change your education from your home country to a SA degree. A university degree can help you to get into the SA job market. As a refugee, tertiary education is not guaranteed. You can apply to study at a university or technikon. A technikon is a university of technology with more practical training. Contact the international student office at your chosen university or technikon. Ask for info about their standards.",477,"Vous pouvez faire l' université ou évaluer vos diplômes de votre pays d' origine à ceux de la RSA.La qaulification universitaire peut vous aider a entrer dans le marché du travail. Etant réfigié, l'éducation tertiere n'est pas guarantie. Vous pouvez postuler pour etudier a l' université ou technikon avec plus de formation practique en RSA. Contactez le bureau international des étudiants dans l' université / technikon de votre choix.Demandez plus d' info sur leurs normes.",475,513,,,
,,,,Education,9,Education,9,Uni. Tips,9,Conseils  sur l'université,26,9,"You must pay international registration & local tuition fees. Submit the completed SAQA form with SAQA-certified copies of your academic records. Process can take 3 months. Prove your English proficiency by taking a TOEFL, IELTS or PTEEP test. Scholarship funding & info available online or at the uni/tech’s info desk. UNHCR offers a Dafi Scholarship for refugees under 28yrs who’ve completed secondary education (not for postgrad). See ‘Useful Services’ for info & requirements.",480,"Vous devez payer les frais d' enregistrement international & les frais scolaires locales. Introduisez un formulaire de SAQA avec des copies des diplômes certifiés par SAQA de vos relevés scolaires. le processus peut prendre 3 mois. Vous passerez un test d' anglais au TOEFL, IELTS, PTEEP pour provez vos connaissances anglaises. Les info sur les bourses sont disponibles a l'internet ou au bureau de l'uni/tech. Le HCR offre une bourse DAfi pour les refugiés d'en dessous de 28 ans ayant finit les humanités.Voir 'Services utiles' pour les conditions.",551,516,,,
,,,,Education,9,Education,9,Adult Ed.,9,Education d' un adult,21,9,Some NGOs and refugee communities offer adult education to refugees and asylum seekers. Most adult education programmes are free. Some training centres offer English language courses. Self-help programmes and skills training can be important for job seekers. Adult education programmes also encourage social integration in SA. See ‘Useful Services’ for more info.,363,"Il y a des organisations et communautés des refugiés qui offrent l'education des adultes - refugies ou demandeurs d'asyle, la pluspard de ce genre d'education est gratuite. Certains centres de formation offrent les cours des langues. Les efforts personnels et formations proféssionnelle aident pour avoir de l' emploi. L'education des adultes encourage l'integration sociale en RSA. Voir 'Services utils' pour plus d'info.'  ",425,399,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,129,,,,,,,,
,,,,Eat/Sleep/Bank,14,Manger/Dormir/Banque,20,Your rights,11,Vos droits,10,11,"You have the right to food, water and housing. Some organisations can help vulnerable asylum seekers and refugees with this. Remember: Help is limited and for a short time only. You will be expected to support yourself soon afterwards. Some churches and religious centres run soup kitchens or provide help to asylum seekers and refugees. See ‘Useful Services’  for more info on these churches and religious centres.",415,"Vous avez droit a la nourriture, eau et logement.Quelques organisations assistent les refugéis & demandeurs d'asyle avec cela. L'assistance est limitée et a court terme avant de vous prendre en charge vous-memes. Certaines eglises & centres religieux donnent la soupe aux refugiés & demandeurs d'asyle. Pour plus d'information, voir'Services utiles'.",350,451,,,
,,,,Eat/Sleep/Bank,14,"Manger/Dormir/Banque
",21,Accommodation,13,Logement,8,13,"Some NGOs might help you find short-term solutions, like a shelter or place for the homeless. See ‘Useful Services’ for info. Ask other refugees and asylum seekers for info on accommodation. Check local newspapers for ads. Estate agents can charge a fee. Rent is paid at the beginning of the month. You might have to pay a deposit (a month’s rent) before you can move in. If possible, sign a contract with your landlord. Ask him/her what they expect of you as a tenant.",469,Certaines ONGs les hébergent.Voyez 'Services utiles/ou journaux'.Les agences immobilères vous exigent des frais de loyer à payer au début de chaque mois. On peut vous demander de payer les frais de caution d'un mois pour le loyer. Il faut signer le contract pour loyer.,269,505,,,
,,,,Eat/Sleep/Bank,14,Manger/Dormir/Banque,20,Evictions,9,Explusions,10,9,The law also protects refugees and asylum seekers from unlawful evictions. The landlord must have a court order before he can evict you. Remember: only a court can force you to leave. The landlord cannot threaten you or use force to remove you from the property. Contact the Rental Housing Tribunal on 011-630-5035 or 0800-046-873 if there’s a dispute or if you feel you’ve been unfairly treated.,396,"La loi protège les refugiés et demadeiurs d'asuyle de l'éxpulsion illégale.Le bailleur devra avoir un ordre du tribunal avant de vous expulser; sans cela, le bailleur ne peut pas vous forcer l'eviction.Contactez le Tribunal de Location des Maisons sur 011 630 5035/0800046873.En cas de dispute entre locataire et bailleur ou au cas du mauvais tratement.",353,432,,,
,,,,Eat/Sleep/Bank,14,Manger/Dormir/Banque,20,Bank problems,13,Problèmes bancairs,18,13,"It may be difficult to open a bank account in SA. Banks don’t always know the rights of refugees and asylum seekers with valid permits. They may refuse to open bank accounts. Asylum seekers can use their temporary asylum seeker permit as identification. Refugees can use their refugee permit or refugee ID. FNB, Standard Bank and Nedbank accept asylum seekers and refugees. Ask other refugees which bank in your area is refugee-friendly.",437,"Les banques ignorent parfois les droits des refugés et demandeurs d'asyle yant un permis valide.Ils peuvent refuser de vous ouvrir le compte bancaire. FNB, Standard Bank et Nedbank acceptent les permis des demandeurs d'asyle et refugiés.Renseignez-vous auprès aux autres  immigrants sur les banques qui acceptent les refugiés et demandeurs d'asyle.",348,473,,,
,,,,Eat/Sleep/Bank,14,Manger/Dormir/Banque,20,Bank account,12,Copmte bancair,14,12,"You must be 16 years or older with a valid permit or refugee ID. You must hand in a proof of residence: a rental contract, telephone bill or utility bill in your name. You need to prove your income with a payslip or affidavit. You also need a small amount of money to put in your bank account. Even if you have the right documents, the bank may decide if they want to give you an account or not. You can also ask a legal counsellor to help you open a bank account.",464,"Âgé de 16 ans ou plus avec un valide pemis.Apportez les documents exigés come preuve do votre residence, permis et l'argent pour ouvrir le compte etc.Vous pouvez avoir tous les documents; la banque aura toujours à décider s' il faudra vous ouvrir un compte ou non. Un avocat peut vous assister à ouvrir un compte.",313,500,,,
,,,,Eat/Sleep/Bank,14,Manger/Dormir/Banque,20,Other options,13,Autres options,14,13,Savings and credit co-operatives often open up bank accounts for refugees. They operate as credit unions. Credit unions are groups of people who save together and lend money to each other. They don’t operate as ordinary banks.,226,Les épargnes et coopératioves de crédit souvent ouvrent des comptes bancaires pour les refugési.Ils opèrent comme les syndicats de crédit.Ils n' opèrent pas comme des banques ordinaires. ,187,262,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,103,,,,,,,,
,,,,Social Grants,13,Subventions sociales,20,About grants,12,Sur les subventions,19,12,Recognised refugees can get social assistance under certain circumstances. This doesn’t apply to asylum seekers.,112,Les réfugiés reconnus peuvent bénéficier d' une assistance sociale dans certains circumstances.Ceci ne s' applique pas pour les demandeurs d' asyle.,148,148,,,
,,,,Social Grants,13,Subventions sociales,20,Disability,10,Handicap,8,10,This is a temporary or permanent monthly grant for recognised refugees who can’t work due to a mental or physical disability. Recognised refugees who are foster parents of a disabled child under 18 can apply for a care dependency grant.,236,C' est une subvention sociale mensuelle temporaire ou permanente pour les réfugiées qui ne peuvent pas pas travailler par suite d' un handicap mentale ou physique. Les parents / gardiens réfugiés d' un enfant avec infirmité en dessous de 18 ans peuvent faire une demande de subvention des soins de dépendence.,309,272,,,
,,,,Social Grants,13,Subventions sociales,20,Foster care,11,Famille d' acceuil,18,11,Recognised refugees who are suitable foster parents can apply to the Department of Social Development for a foster care grant. Remember: a court must confirm you are a suitable foster parent. The grants are usually given for a 2 year period.,241,Parents adoptifs réfugiés peuvent faire la demande d' une subvention de famille d' acceuil au Dépt.de Developement social.Un tribunal devra confirmer que vous etes parent adoptif. La subvention est généralement pour une période de 2ans.,236,277,,,
,,,,Social Grants,13,Subventions sociales,20,Social relief,13,Assistance sociale,18,13,Social relief is limited to SA citizens and recognised refugees. You would need to apply at the nearest SASSA office where you live. Each grant requires different documents to be submitted.,189,L' assistance humanitaire est limitée au citoyens de RSA.Vous devriez faire la demande au SASSA rapproche de votre domicile.Chaque subvention exige différents documents à présenter.  ,183,225,,,
,,,,Social Grants,13,Subventions sociales,20,Applying,8,Demande,7,8,Each grant needs a specific set of documents to support your application. Visit the South Africa Social Security Agency's website (www.sassa.gov.za) or call them on 0800-60-10-11. You must apply at the SASSA office closest to your home.,236,Chaque subvention exige des différents documents à soumettre.Visitez le site internet de SASSA: www.sassa.gov.za ou appelez sur le 0800 60 1011.Aller au bureau de SASSa proche de votre domocile. ,195,272,,,
,,,,Social Grants,13,Subventions sociales,20,SASSA-EC/WC/NC,14,SASSA-EC/WC/NC,14,14,"EASTERN CAPE: BKB Building, corner of Fitzpatrick & Merino Road, Quigney; Tel: 043-707-6300; Email: GrantsEnquiriesEC@sassa.gov.za; NORTHERN CAPE: Du Toitspan Building 95-97, Du Toitspan Road, Kimberley: Tel: 053-802-4900; Email: GrantsEnquiriesNC@sassa.gov.za; WESTERN CAPE: Golden Acre, Adderley Street, Cape Town: Tel: 021-469-0200; Email: GrantsEnquiriesWC@sassa.gov.za",373,"EC: Imm. BKB, croisement des av. Fitzpatrick & Merino, Quigney; Tél: 043 707 6300; Email: GrantsEnquiriesEC@sassa.gov.za; NC: Imm. Du toitspan No95-97,AV/ DUToitspan, Kimberley Tél: 053 802 4900 Email: Grants EnquiriesNC@sassa.gov.za;WC: Golden Acre, AV/Adderly,CPT: Tél: 021 469 0200 Email: GrantsEnquiriesWC@sassa.gov.za",322,409,,,
,,,,Social Grants,13,Subventions sociales,20,SASSA-GP/FS/KZN,15,SASSA-GP/FS/KZN,15,15,"FREE STATE: African Life Building, 75 St. Andrews Street, Bloemfontein. Tel: 051-410-0804/5; Email: GrantsEnquriesFS@sassa.gov.za; GAUTENG: 28 Harrison Street, Johannesburg: Tel: 011-241-8300; Email: GrantsEnquiriesGP@sassa.gov.za; KWAZULU-NATAL: 1 Bank Street, Pietermaritzburg; Tel: 033-846-3300; Email: GrantsEnquiriesKZN@sassa.gov.za",337,"FS: Immeuble/African Life, No 75 AV/Andrews, FS,Tél: 051410080, Email: GrantsEnquiriesFS@sassa.gov.za; Gauteng: No 28  AV/Harrison,JHB,Tél: 0112418300 Email: GrantsEnquiriesGP@sassa.gov.za;KZN: No1 AV/Street, ZN; Tél; 0338463300; Email: GrantsEnquiriesKZN@sassa.gov.za",268,373,,,
