,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Answer,Character Count,Translation,Character Count,Chr Count for SMS,Chr for USSD Screens,,
,,,,Health,6,Afya,4,HIV/Aids,8,VVU/Ukimwi,10,"HIV can go unnoticed for up to 10yrs. Know your status and get treatment sooner to help you lead a normal life. HIV weakens your body’s power to fight infections such as pneumonia. There is no cure. You can get HIV by having unprotected sex or using unsterilised needles/syringes. If you’re HIV+ & pregnant, your baby can get HIV in the womb, after birth or by breastfeeding. Tip: You can’t get HIV through casual contact, like working together, kissing, or sharing space.",472,"HIV inaweza kuenda  kwa 10yrs.Jua hali yako na pata matibabu  usaidizi. HIV hudhoofisa mwili kama pneumonia.Hamna tiba.Unaweza pata HIV bila ngono wembe au  sindano/syrings. Kama uko HIV+&Mimba,unaweza kuanbukiza mtoto,baada ya kuzaa. Tip: Huwezi pata HIV kupitia mwenendo wa kawaida,Kama kufanya kazi,kissing au kupeana nafasi.",328,472,508,,
,,,,Health,6,Afya,4,HIV Testing,11,Kupimwa VVU,11,"To know your HIV status you must get a blood test, available for free at most public health centres. You’ll receive counselling before and after your test. Sometimes two tests are done. You’ll know your status after 20 minutes. Your blood sample might have to go to a laboratory. You’ll only know your status in a few days. HIV tests are very accurate. Many organisations in SA offer HIV tests, counselling and treatment. Go to www.tac.org.za or the contact list for more info.",477,"Jua hali yako ya VVU  ukipimwa damu , ni bure katika hospitali mbalimbali za umma. Pata ushauri  kabla na baada ya kupimwa .Mara nyingine unahitaji kupimwa mara mbilii. Utajua  baada ya dakika 20.Kipimo cha VVU kipo sahihi. Mashirika mengi mno  SA hupima VVU, hufanya nasaha na hupana matibabu.Nenda www.tac.org.za au pigia orodha ya mawasiano kwa habari zaidi.",361,477,513,,
,,,,Health,6,Afya,4,PMTCT,5,PMTCT,5,Pregnant women with HIV should ask for Nevirapine at public health centres. It can prevent HIV infection during childbirth. Nevirapine is an antiretroviral drug (ARV). Go to the contact list or www.tac.org.za for info on centres with ARV treatments.,249,Mama mwenye mimba hupata Nevirapine kwa hospitali ya umma. Huzuia VVU kumwaambukiza  mtoto wakti wa  kuzaliwa.Nevirapine ni dawa ya kurefusha maisha (ARV). Nenda kwenye  listi au www.tac.org.za kupata habari za senta za kutoa matibabu  ya ARV.,243,249,285,,
,,,,Health,6,Afya,4,ARV Treatment,13,Matibabu ya ARV,15,ARV treatment begins during a serious HIV-related illness or when your CD4 count drops below 350. Most people start ARV 8-10 years after infection. It isn’t the same for all. See a doctor and get the best treatment for you! Remember: It doesn’t matter what your document status is - you are entitled to free ARV treatment.,322,Mgonjwa huanza ARV wakati anaumwa vibaya na ugonjwa unaohusiana na VVU au wakati CD4 yake inashuka chini 350. Watu wengi huanza ARV miaka 8-10 baada ya kuambukizwa. Sio sawa kwa wote . Muone daktari na upate matibabu bora kwa ajili yako! Kumbuka : Usijali  kibali chako au hati yako - una haki ya matibabu bure ARV .,316,322,358,,
,,,,Health,6,Afya,4,Sexual Abuse,12,Uyanyasaji wa kijinsia,22,"If you wish to report a rape, go straight to the police. Don’t shower, drink liquids or use the toilet – this helps with evidence. You CAN change clothes, but take along the clothes you were wearing. You don’t need to report it to get medical treatment. If HIV negative before the assault, you have a right to a 28-day course of antiretrovirals to prevent HIV, but must take it within 72hrs. Help/info: LoveLife 0800-121-900; AIDS Helpline 0800-01-23-22; AIDS Hotline 0800-11-0605",480,"Unahitaji kuripoti ubakaji,Nenda kituo cha polisi.Usioge,usikunywe maji au chooni-husaidia ushahidi.Unaweza badilisha nguo,lakini huchukua muda.Unafaa kupata msaada wa matibabu.Kama uko HIV nasi kabla ya shambulio. Lazma uchukue kabla ya 72hrs.Help/info: Mapenzi  0800-121-900; AIDS Helpline 0800-01-23-22; AIDS Hotline 0800-11-0605",332,480,516,,
,,,,,,,,Back,4,Nyuma,5,,4,,,,,,
,,,,,,,,,,,,,3768,,,,,,
,,,,Education,9,Elimu,5,Your rights,11,Haki zako,9,Everyone has the right to basic education in SA. You must have a valid study permit to study in SA. In SA on another valid permit? Check first if your permit allows you to study in SA. Some conditions might apply.,213,Kila mtu ana haki ya elimu SA.Lazima uwe na kibali utafiti SA. Au kibali halali nyingine? Angalia kwanza kama kibali  yako ina kuruhusu kufanya kazi SA.Hali inaweza kuomba.,172,213,249,,
,,,,Education,9,Elimu,5,School,6,Shule,5,"A creche is a preschool daycare centre for ages 1-6. Primary school: 7-13. Secondary school (academic or technical): 13-19. If you can't pay the fee, ask to work in exchange for a cheaper fee. Your child must have a visa and passport to be in SA. Children in SA must go to school – it’s the law. Tip: School age groups are flexible, so a child might be older than their classmates, but most government schools don't allow students to be 2yrs older than the grade’s age group.",475,"Creche in shule ya miaka 1-6. Shule ya msingi  7-13.Shule ya Sekondari (taalamu au kiufundi): 13-19. Kama huwezilipa ada, Uliza kufanya kazi badala  bei nafuu. Mtoto lazima awe na viza na pasipoti kuishi SA. Lazima watoto wende shule-ni sheria. Mwanga: Umri wa makundi shuleni ni rahisi, hivyo mtoto anaweza kuwa na umri mkubwa kuliko wenzake, lakini shule nyingi za serikali haziruhusu wanafunzi kuwa miaka 2 zaidi ya umri wa daraja.",434,475,511,,
,,,,Education,9,Elimu,5,Application,11,Maombi,6,"Your child must have at least a birth certificate, clinic card or old report card to register.  There'll be conditions for your child to attend school during your stay in SA. Register for a primary school closest to your house. English not good? Take a friend with who can help. Schools get full quickly so apply early (from July). If the school closest to your house is full, the school must show you another school that can help. If you struggle to register, the school close to your house must refer you to the Dept. of Education (DOE). If the school refuses admission, ask for a letter on their letterhead signed by the principal and take it to the DOE. Still can’t find a school? Contact a social service provider for education or LHR. More info on the contact list.",771,"Mtoto wako lazima awe na cheti cha kuzaliwa,kliniki kadi au kadi reporti ya kuandikisha.Kutakuwa na hali ya shule ukikaa SA.Sajili msingi karibu na kwako.Kingereza si nzuri?Chukua rafiki anaweza kusaidia.Shule hujaa haraka omba haraka (kutoka julai).Kama shule karibu wewe zimejaa,Shule lazima ikuonyeshe shule nyingine.Kama una panagana kujiandikisha shule karibu wewe lazima wakutekeleze Dept of Education (DOE).Kama shule inakataa kwa ajili ya kuandikisha,Uliza barua ilio sainiwa na mwalimu mkuu na upeleke DOE. Bado huwezi pata shule? Pigia huduma za kijamii ya elimu au LHR.Maelezo zaidi kwa orodha.",605,771,807,,
,,,,Education,9,Elimu,5,Tips,4,Mwanga,6,,0,,,0,36,,
,,,,Education,9,Elimu,5,School fees,11,Ada ya shule,12,"If you can’t pay school fees, ask the school to reduce them by completing an exemption form. You must show proof of income (payslip/affidavit/letter of support) & give info on your expenses & responsibilities. Apply for exemption at the start of each term. Keep all letters & appointments with the school. If you ignore notices the school can make you pay. Find a NGO in the contact list for help with the form. Uniforms & learning materials also cost money. If you can’t afford a uniform, your child can wear clothes that resemble it, but must still go to school. Second-hand uniforms are cheaper. Ask at the school. You shouldn’t pay a registration fee. Public schools can’t ask your child to leave if you can’t pay.",718,"Kama huezi lipa ada ya shule,uliza kama wanaeza kukupunguzia na kupa msahama ya ada.Onyesha ushahidi (payslip,kiampo,barua ya msaada)& peana maelezo ya gharama yako&majukumu.Omba musahama kwa kila term. Weka kila barua &utezi na shule.Ukipuuza tarifa hii shule yaeza kufanya ukalipa. Pata NGO na orodha ya kukusaidia na sare.Sare &vifaa vya kujifunza na gharama. Kama huwezi kudumu sare,Mtoto wako anaweza kuvaa nguo zinazo fanana,Lakini lazima ende shule.Sare za mkono wa pili ni nafuu.Usilipe ada ya usajili.Shule za umma hiwezi fukuza mtoto kama haezi lipa ada.",564,718,754,,
,,,,Education,9,Elimu,5,Special needs,13,Mahitaji maalum,15,Children with special learning needs can go to a special education school. Contact the Departmenr of Education and ask about schools. Placing your child in a special education school is a long process. Get your child on a waiting list as soon as possible.,255,Watoto wenye hufunzi maalum waeza kuenda shule maalum.Pigia Department of Education ulize kuhusu shule.Kuweka mtoto wako kwa elimu maalum ni mchakato ndefu.Weka mtoto kwa orodha ya kusubiri kama i wezekanavyo.,209,255,291,,
,,,,Education,9,Elimu,5,University,10,Chuo kikuu,10,"You can study at a university to further your education or change your education from your home country to a SA degree. A university degree can help you to get into the SA job market. Remember: You must have a valid study permit to study in SA, you'll need to apply at the tecknikon or university before you come to SA.",319,"Unaweza somea university ili kuendeleza elimu yako au kubadilisha elimu yako ya nyumani kwa SA shahada. Shahada ya university yaweza kukusaidia kupata soko SA, lazima uwe na utafiti halali kibali kusoma SA,unahitaji kuomba kwa tecknikon au university kabla kuja SA.",265,319,355,,
,,,,Education,9,Elimu,5,Uni. Tips,9,Mwanga kwa Chuo Kikuu,21,You need to pay an international registration & fee as an international student. Each university has thier own processes and will advise you when you apply to study there.,171,Unahitaji kulipa sajili ya kimataifa &ada na mwanafunzi wa kamataifa.Kila university. Kila university ina mchakato na ushauri ukiomba masomo hapo.,146,171,207,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,0,,2958,,,,,,
,,,,Banking,7,Benki,5,Opening an account,18,Kufungua akaunti,16,"You must be 16 years or older with a valid passport and visa. You must have proof of residence: a rental contract, telephone/utility bill in your name. You need to prove your income with a payslip or affidavit. It may be difficult to open a bank account in SA. Even if you have the right documents, the bank can decide if they want to give you an account or not. You can also ask a legal counsellor to assist.",409,"Lazima uwe na umri wa miaka 16 au mkumbwa na pasipoti ambao ina visa halali. Lazima uwe na ushahidi wa makaazi:mkataaba wa kukodisha,simu/bili ya huduma kwa majina yako.Unahitaji kuwa na ushahidi mapato na payslip au kiapo.Unaweza kuwa mgumo kufungua akkaunti ya benki SA. Hata kama una hati sahihi,Benki inaweza amua kukupa akkounti au la.Waeleza kuuliza mashauri wa kisheria kwa usaidizi.",390,409,445,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,417,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,LGBTI rights,12,Haki za LGBTI,13,"SA’s constitution protects the rights of Lesbian, Gay, Bisexual & Transgender individuals (LGBTI). LGBT victims of unjust treatment must go to the police. LGBT victims of hate speech may lay a complaint with the SAHRC or approach the Equality Court for relief. ",261,"Katiba ya SA's hulinda haki ya Leabian, Gay, Bisexual &Transgender kipekee (LGBTI).LGBT wathirika  kuthulumu matibabu huenda kituo cha polisi. LGBT waathirika lugha ya chuki kulaumu SAHRC au mbinu mahakama kwa ajali ya masaada.",227,261,297,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,LGBTI Safety,12,Usalama wa LGBTI,16,The Refugee act states that the LGBTI group can get protection if they are persecuted for their sexual orientation. Don’t be afraid to disclose your sexual orientation when applying for asylum. The RRO must treat your claim with confidentiality. ,246,Sheria ya Wakimbizi inasema kwamba kundi la LGBTI wanaweza kupata ulinzi na hifadhi kama wangine juu  kuteswa kwa hisia zao za kimapenzi. Ukiwe na hofu ya kufichua upendeleo wako wa kimapenzi wakati unapoomba ukimbizi.Ni lazima RRO atibu madai yako kwa siri.,258,246,282,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,LGBTI Help,10,Usaidizi wa LGBTI,17,Contact Lawyers for Human Rights (LHR) or another legal organisation if your claim isn’t treated with sensitivity and respect. www.lhr.org.za; 011-339-1960 or 012-320-2943.,172,Pigia Wanasheria wa haki za Binadamu (LHR) au shirika la sheria nyingine kama madai yako kutibiwa kwa heshima and unyeti. www.lhr.org.za; 011-339-1960 au 012-320-2943.,167,172,208,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,Abuse help,10,Msaada ya walionyanyaswa,24,Abuse is illegal in SA. Get free legal help from selected women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.,165,Unyanyasaji ni kinyume cha sheria katika SA . Kupata msaada wa bure wa kisheria kutoka kwa mashirika ya wanawake na watoto mashirika au piga simu bure  juu ya 0800-150-150 kwa msaada na ushauri nasaha .,202,165,201,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,Abused Rights,13,Haki za wathirika wa  unyanyasaji,33,"Women and children have the right to live free from physical, verbal or sexual abuse. All types of abuse must be reported to the police. Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse by men or women is not acceptable and you can report them.",382,"Wanawake na watoto wana haki ya kuishi uhuru bila kupigwa, matusi au unyanyasaji ya kijinsia. Aina zote za unyanyasaji ripoti kwa polisi. Kumbuka: ulinzi huzuia vurugu zaidi.Vurugu inamaanisha vitendo, kupigwa, unyanyasaji,matusi, kutishiwa au kupoteza uhuru wako.Unyanyasaji wa mwanaume au mke haikubaliki  na unaweza kuuripoti.",329,382,418,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,Report abuse,12,Reporti unyanyasaji,19,"If you or your child suffers from abuse, you must report it to the police. The police will open a criminal case. You must make a statement. You’ll get a case number. An officer will investigate your case. Some police stations have special units for domestic violence, sexual offences and child protection. Go to a police station close to your home. If you don’t, your case will take longer to process. You’ll go for a medical examination and counseling.",453,"Kama mtoto wako hutekeza unyanyasaji,Lazima uripoti kwa polisi. Polisi atafungua kesi. Utapewa kesi namba . Afisa atachunguza kesi yako. Vituo vingine vina vitengo maalum kwa ujumbani,makosa na kujiaminiana and ulizi ya watoto. Nenda kwa polisi station karibu na we,kesi yako itachukua muda .Utaenda  kupata matibabu ya afya na nasaha.",335,453,489,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,Protection,10,Ulinzi,6,"If you’re afraid of more violence or feel threatened, you can go to court and get a protection order. You don’t need a lawyer. A protection order can order your abuser to stop abusing you, to stay away from you or force him/her out of your home. Documents like medical reports and photos of your injuries can help your abuse case.  If there’s enough proof of abuse, you’ll get an interim protection order and suspended warrant of arrest. ",438,"Kama unaogopa vurugu au kutishiwa,unaeza enda mahakama ili upate amri ya ulinzi.Huhitaji mwanasheria. Ulinzi ili inasharti anayekunyayasa aache ,akae mbali na wewe au nyumbani yako.Hati kama ripoti ya matibabu au mapicha ya majeruhi yaweza kukusaidia ufungue kesi.Una ushahidi ya kutosha,Utapata amri ya muda ya  ulinzi na kibali cha kumkamatwa.",345,438,474,,
,,,,LGBTI & VAWC,12,LGBTI&VAWC,10,Disobey P.O.,12,Umasi P.O.,10,"If the abuser disobeys the order, you can get him/her arrested. You’ll need to go back to court a second time. Your abuser must also be there. The court will listen to your case. The court may give you a final protection order. If your abuser disobeys the order, he/she can get arrested.",287,"Mnyanyasaji aki kataa amri ya mahakama, anaweza kufungwa.Unahitajika kurudi kahakama mara ya pili.Mnyanyasaji wako pia atakuepo.Mahakama itasikiza kesi yako na inaweza kuto amri ya mwisho.Mnyanyasaji wako akidharau amri atafungwa.",230,287,323,,
,,,,LGBTI & VAWC,12,,0,Trafficking,11,Trafficking,11,"Human trafficking is a form of modern-day slavery where people are taken to another country under a false act. They’re exploited, can't leave and are tricked with false promises of good jobs and better lives. They're forced to work in brutal and inhumane conditions. Traffickers are dangerous and shouldn’t be confronted. Call the International Organisation for Migration (0800-555-999) or go to a police station if you know of someone who has been trafficked.",460,"Biashara ya binadamu ni aina-ya siku za kisiasa ambapo watu huchukuliwa nchi zao kwa sheria ya uongo. Ni vibaya, huwezi enda na mkadangaywa na ahadi ya uongo ya kazi na maisha bora. Wana lazimishwa kufanya kazi kikatii na hali ya kinyama.Wafanyabiashara ni hatari haipsawi kubalika.Pigia International Organisation for Migration (0800-555-999) au nenda kwa polisi station kama unajua mtu anasafirishwa.",402,460,496,,
,,,,,,,,Back,4,Back,4,,0,,,,,,
,,,,,,,,,,,,,2905,,,,,,
,,,,Safety/Children,15,Usalama/Watoto,14,Children without parent/guardian,32,Watoto bila mzazi/malezi,24,Children without a parent or guardian must be referred to the Department of Social Development. A social worker will be assigned to the child. The social worker will go to the Children’s Court. The court will confirm if the child is in need of care.,249,Watoto bila wazazi au malezi lazima kusudia Idara ya Maendeleo ya Kijamii. Mfanyikazi wa jamii ata saini. Mfanyikazi wa jamii ataenda mahakama ya watoto.Mahakama itathibitisha kama mtoto anahitaji huduma.,204,249,285,,
,,,,Safety/Children,15,Usalama/Watoto,14,Place of safety,15,Mahali pa usalama,17,"The social worker will verify the child’s placement in a temporary place of safety. A report must be compiled. If the child is a migrant, the social worker must try to find and reunite the family in the country of origin. If the family can’t be located and the child can’t be returned home, you must contact a legal counsellor. This is important: children must get documented as soon as possible, otherwise they risk becoming stateless.",436,"Mfanyikazi wa jamii atathibitisha kama ni mahali ya usalama.Repoti lazima zikusanywe.Kama mtototo ni mhamaji,mfanyikazii wa jamii atatafuta familia inchi asili. Kama familia haiko na mtoto hawezi rudishwa nyumbani, lazima uwasialiane wna mshauri kisheria.Hii ni muhimu:Watoto lazima wape hati haraka iwezekanavyo ,wako hatari kutokuwa na utaifa.",345,436,472,,
,,,,Safety/Children,15,Usalama/Watoto,14,Xenophobia,10,Xenephobia,10,"Xenophobia is an irrational hatred towards foreigners or an unreasonable fear or hatred of the unfamiliar persons. If you are a victim of xenophobic attacks, you must report it to the police. Go to the police station closest to your home. You must explain in detail what happened. The police will open a case. You will get a case number. Keep it safe! If you’ve lost your document, get an affidavit from the police that explains your situation. Go to the RRO for a new permit.",476,"Xenophobia ni chuki dhidi ya wageni  au mantiki hofu au chuki ya watu wasio wa kawaida. Kama wewe ni mwathirika wa mashambulizi dhidi ya wageni, ni lazima toa taarifa kwa polisi. Nenda kwenye kituo cha polisi karibu na nyumba yako. Lazima uelezea kwa urefu kile kilichotokea. Polisi itafungua kesi. Utapata namba ya kesi.Yiweke salama! Kama ulipoteza hati yako,chukua  hati ya kiapo kutoka kwa polisi ambo inaelezea hali yako. Nenda RRO kwa kupata kibali mpya.",460,476,512,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,1177,,,,,,
,,,,Qualifying for permanent residence,34,Ufuzu wa makazi ya kudumu,25,Requirements,12,Mahitaji,8,You qualify for permanent residence if you've had a work/spousal visa for 5 years OR you are a child under 21 of someone with permanent residence OR you are a child of a citizen.,178,Unastahili makaazi ya kudumu kama ulikuwa na kazi/uliishi kwa viza mke wo  miaka 5 au  uko mtoto chini ya umri wa 21 wa mtu ana kibali cha kukaa muda mrefu au ni  mtoto wa raia.,177,178,214,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,186,,,,,,
,,,,Permanent Residence,19,Vibali vya kukaa muda mrefu,27,Interview,9,Mahojiano,9,Application requires an interview with Home Affairs officer at VFS centre when submitting your application form. Married couples/partners must both sign form and attend interview together.  ,190,Maombi inahitaji mahojiano naAfisa wa Idara ya Uhamiaji katika VFS centa wakati unapeleka fomu. Wenye ndoa/washirika lazima wa saini fomu na kuenda mahojiano pamoja.,165,190,226,,
,,,,Permanent Residence,19,Vibali vya kukaa muda mrefu,27,Online Application,18,Maombi kwenye mtandao,21,Complete a BI-947 online application for the correct visa type and book an appointment for your nearest VFS centre by visiting http://www.vfsglobal.com/dha/southafrica/index.html,178,Jaza fomu ya BI-947 kwa  maombi  online ya visa sahihi na fanya uteuzi kwa ofisi ya VFS karibi nawe ukitembelea http:www.vfsglobal.com/dha/southafrica/index.html,161,178,214,,
,,,,Permanent Residence,19,Vibali vya kukaa muda mrefu,27,Where to apply,14,Kuomba wapi,11,"After completing the online form, you need to apply at VFS centre in Durban, Cape Town, Port Elizabeth, Joburg, Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George or Bloemfontein. ",191,"Baada ya kujaza online fomu,unahitaji kuomba VFS senta ya Durban, Cape Town, Port Elizabeth, Joburg, Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George or Bloemfontein.",179,191,227,,
,,,,Permanent Residence,19,Makazi ya kudumuVibali vya kukaa muda mrefu,43,Docs required,13,Hati zinazohitajiwa,19,Please see VFS website here http://bit.ly/1T93608 for list of documents needed per visa type. Make sure you have all required documents or your application will be rejected.,173,Tafadhali mtandao wa  VFS ni http://bit.ly/1T93608 kwa orodha ya hati unayohitaji  kwa kila aina ya viza. Hakikisha una hati zinazotakiwa au ombi lako litakataliwa.,164,173,209,,
,,,,Permanent Residence,19,Vibali vya kukaa muda mrefu,27,Process time,12,Muda wa mchakato,16,Permanent residence permit applications have a minimum processing time of 8-10 months. Track your application online on VFS Global website to determine your application status.,176,Maombi ya kibali cha kudumu hakichukui chini ya wakati miezi  8-10. Fuatilia ombi lako VFS Global website kujua hadhi la ombi lako.,131,176,212,,
,,,,Permanent Residence,19,Vibali vya kukaa muda mrefu,27,Paying fees,11,Kulipa ada,10,"Pay by EFT, credit/debit card at the centre or prepayment at a Standard Bank branch. Acount name: VFS VISA PROCESSING SA (PTY) LTD; Bank: STANDARD BANK; Branch Code: 011545; Account number no: 002012731",202,"Lipa na EFT,credit/debit card kwa centa au prepayment kwa Standard Bank branch. Acount name: VFS VISA PROCESSING SA (PTY);Bank: STANDARD BANK; Brank Code: 011545; Acoount number no: 002012731",191,202,238,,
,,,,Permanent Residence,19,Vibali vya kukaa muda mrefu,27,Collection,10,Mkusanyiko,10,"Collect at VFS or have representative collect. Applicant's passport is needed. The representative also needs an authorisation letter with the applicant's name, passport no., signature, own name, ID no. and copy of ID.",217,"Chukua mwenyewe  au mwanakilishi katika VFS.Pasipoti ya mwombaji pasip inahitajika. Mwanakilishi anahitaji idhini ya barua na mwombaji jina lake,pasiposi no,saini,jina lake,Id no na copy ya ID.",193,217,253,,
,,,,Permanent Residence,19,Vibali vya kukaa muda mrefu,27,Proof of visa,13,Ushahidi wa viza,16,"If you need proof of your permanent residence visa, you will need to fill in a form on www.vfsglobal.com to make an appointment at VFS. Take your documents and you'll have to pay a fee.",185,,0,185,221,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,1548,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Statelessness,13,Utaifa,6,Statelessness,13,Utaifa,6,"A stateless person doesn’t have citizenship in any country. You are also at risk of being stateless if your nationality status is undecided. Not all undocumented persons are considered stateless, e.g. when your birth isn’t registered or if you don’t have a birth certificate, ID or passport. ",292,"Mtu asie kuwa na utaifa hana uraia wa wa nchi yeyote. Utakuwa kwa hatari na utaifa kama uraia wako haiamuliwa. Siyo wote amabao hawana nyaraka kuchukuliwa utaifa,e.g. mara kuzaliwa kwako haijasajiliwa au huna cheti cha kuzaliwa,ID au pasipoti.              ",257,292,328,,
,,,,Statelessness,13,Utaifa,6,Risks,5,Hatari,6,An undocumented person’s risk of being stateless increases when you belong to a certain category or when certain factors are present like: birth outside your parents’ country of nationality; death or desertion of your parent(s); Irregular migration across international borders; mixed nationality of your parents; loss of clinic cards or records; If you’re close to an international border with high cross-border movement; when the law doesn’t permit dual nationality.,468,"Mtu asie na nyaraka za kumtumbua huongeza hatari ya utaifa  wakati yupo kwenye kikundi fulani au mambo fulani yapo kama: kuzaliwa nje ya nchi  wazazi'  ya uraia ;kufa au kuachwa na wazazi; Uhamaji haramu wa kuvuka mipaka ya kimataifa; mchanganyiko wa  utaifa wa wazazi; kupoteza kadi ya kliniki au rikodi; Kama uko karibu na mipaka ya kimataifa ambao ina uhamaji wa hali ya juu ,au  wakati sheria haikubalie mtu kuwa taifa  mbili.",430,468,504,,
,,,,Statelessness,13,Utaifa,6,Birth Regstr.,13,Usajili wa kuzaliwa,19,"A birth certificate proves your place of birth and identifies your parent/s. It’s the most important proof of your nationality. South African citizens born outside SA are entitled to a SA birth certificate. Foreign children born in SA are entitled to a birth certificate, but this doesn’t mean they’re South African citizens. Children born in SA must be registered within 30 days. If you were born in SA, apply for late birth registration. Applications close in December 2015.",476,"Vyeti vya kuzaliwa huonyesha ulipozaliwa na wazazi wako. Ni ushahidi muhimu wa utaifa wako.Wa SA naozaliwa nje wana haki ya kuwa na vyeti vya kuzaliwa vya Sa. Watoto wageni wanaozaliwa SA wana haki ya vyeti vya kuzaliwa lakini haimanishi wao ni raia wa SA. Watoto wanaozaliwa SA wasajili ndani ya siku 30. Kama umezaliwa SA, omba usajili ya kuzaliwa. KMaombi haa atafungwa Decemba 2015.",386,476,512,,
,,,,Statelessness,13,Utaifa,6,Citizenship,11,Uraia,5,"You have a claim to SA citizenship if you: were born to a parent with SA citizenship at the time of your birth; were born in SA to a parent who was a permanent resident of SA at the time of your birth and if you lived in SA until the age of 18; have been adopted by a SA citizen; applied for and received a certificate of naturalisation from the DHA; were born in SA and have no other citizenship, nationality or right to other citizenship or nationality.",455,"Kama unamadai ya uraia SA kama: Umezaliwa na mzazi ako na uraia wa SA ulipozaliwa; Umezaliwa SA na mzazi ako na kibalin cha kukaa muda mrefu SA wakati ulipozaliwa,kama umeishi SA mpaka umri wa miaka 18; umechekuliwa na raia wa SA; omba na upokee vyeti vya uraia kwa DHA; umezaliwa SA huna uraia,utaifa,raia au haki ya uraia mwingine .",,455,491,,
,,,,Statelessness,13,Utaifa,6,Legal advice,12,Ushauri wa kisheria,19,"If you struggle to register a birth or access nationality in your country of birth, contact Lawyers for Human Rights on 011-339-1960 or 012-320-2943.",149,"Kama una shida ya vyeti vya kuzaliwa au uraia wa nchi yako,pigia Wanasheria wa haki za Binadamu  kwa 011-339-1960 au 012-320-2943.",130,149,185,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,Back,4,Nyuma,5,,,,,,1864,,,,,,
,,,,,,,,,,,,,,,,,,,
Useful Services,15,Huduma Muhimu,13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
About/ T&Cs,11,Soma T&Cs,9,,,,,,,,,,,,,,,,
,,,,Read T&Cs,9,Soma sheria na masharti,23,,0,,0,This mobile info system is only a guide. It isn’t the same as complete legal advice. Users should contact a law clinic for complex issues. LHR will not be liable for any loss from actions taken as a result of this service. ,223,Hii ni fumo wa simu  wa kutoa mwongozo.Siyo mashauri kisheria kamili. Watumiaji wanaweza pigia kliniki ya sheria kwa masuala magumu. LHR haiwezi shugulika vitendo au hatua ya huduma.,182,223,259,,
,,,,Read T&Cs,9,Soma sheria na masharti,23,Confidential,12,Siri,4,Your registration and personal details are confidential and safe. These details will only be used when you’ve made a follow up request or report to Lawyers for Human Rights. ,174,Usajili wako na maelezo ya binafsi ni siri. Hizi maelezo itatumika too kama kufuatiliwa na ripoti ya Wanasheria wa Haki za Binadamu.,132,174,210,,
,,,,Read T&Cs,9,Soma sheria na masharti,23,Costs,5,Bei,3,"The registration for this service is free, as is the actual mobile application. You will only be charged according to USSD data fees per their usage. ",150,"Kusajili Kwa  huduma hii ni bure,ni programu halisi ya simu. Utalipa kulingana na gharama ya data ya USSD  na jinsi ulioitumia.",127,150,186,,
,,,,Read T&Cs,9,Soma sheria na masharti,23,Termination,11,Ukomeshaji,10,"This service is brought to you by Lawyers for Human Rights, and LHR reserves the right to terminate the usage of this service if you or any user is deemed to be abusing it. ",173,"Huduma hii huletwa kwako na Wanasheria wa Haki za Binadamu ,na LHR ina haki ya kuondoa huduma hii kama ukionyesha au ukinyayasa.",128,173,209,,
,,,,,,,,Back,4,Nyuma,,,0,,,,,,
,,,,,,,,,,,,,740,,,,,,
,,,,About LHR,9,Kuhusu LHR,10,What is LHR?,12,LHR ni nini?,12,"Lawyers for Human Rights is a NGO. We aim to promote awareness, protection and enforcement of legal and human rights. Our services are free of charge subject to the means test.",176,"Wanasheria wa Haki za Binadamu in NGO. Lengo letu ni kukuza,ulinzi na utekelezaji haki za kibinadamu. Huduma zetu ni bure chini ya mtihani wa maana.",148,176,212,,
