English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Answer,Character Count,Translation,Character Count,Chr Count for SMS,Chr for USSD Screens,,
,,,,Health,6,cafimaadka,10,Trauma Help,11,ka caawinta jahwaeerka,22,Suffering traumatic events (abuse/violence/natural disaster) can lead to Post-Traumatic Stress Disorder (PTSD). Signs of PTSD: struggling to sleep/concentrate; nightmares; flashbacks; anxiety; helplessness; fear. Share your story if you have PTSD. In counselling you’ll talk about your experience/feelings. Visit the Trauma Clinic in Joburg or Trauma Centre for Survivors of Violence & Torture in Cape Town. There are other trauma clinics in SA. See ‘Contact List’ for more info.,479,"la daala dhaca jahwareerka iuo xaaladaha sida xadgudub,qalaaalsaha,xanuunka dabiiciga ah, waxay kuu hor seedi karaan jahwareer walbahaar,nidaam daro, calaamada ha lagu garto waxa ka mida hurdo la aan,culays,qoraw,farxad lan,walwalkala kaasho hayada ay khusayso waxaad ka heli talo muhiima  waxaabad booqan kartaa xurun cafimaad oo joobeg ku tala ama kebtown lana xidhiidh iyaga",377,479,515,,
,,,,Health,6,cafimaadka,10,HIV/Aids,8,aydhiska,8,"HIV can go unnoticed for up to 10yrs. Know your status and get treatment sooner to help you lead a normal life. HIV weakens your body’s power to fight infections such as pneumonia. There is no cure. You can get HIV by having unprotected sex or using unsterilised needles/syringes. If you’re HIV+ & pregnant, your baby can get HIV in the womb, after birth or by breastfeeding. Tip: You can’t get HIV through casual contact, like working together, kissing, or sharing space.",472,,0,472,508,,
,,,,Health,6,cafimaadka,10,HIV Testing,11,badhista aydhiska aydhiska,26,"To know your HIV status you must get a blood test, available for free at most public health centres. You’ll receive counselling before and after your test. Sometimes two tests are done. You’ll know your status after 20 minutes. Your blood sample might have to go to a laboratory. You’ll only know your status in a few days. HIV tests are very accurate. Many organisations in SA offer HIV tests, counselling and treatment. Go to www.tac.org.za or the contact list for more info.",477,si aad wax uga ogaatid aydhiska badho dhiigaaga  waxayna diyaar ku tahay meel kasta oo caafimad dad wayne bilaash waaye  kadib markaas waxaad hel fariin talo ah mararka qaar waxay qaada taa 20daqiiqo mararka qaarna waxay qadataa ayaamo  waxaa bixiya dawdiis ahayado badan k afrika booqo www.tacorg.za si akhaar badab u hesho,324,477,513,,
,,,,Health,6,cafimaadka,10,PMTCT,5,arimaha khuseeya hooyada uurka leh,34,Pregnant women with HIV should ask for Nevirapine at public health centres. It can prevent HIV infection during childbirth. Nevirapine is an antiretroviral drug (ARV). Go to the contact list or www.tac.org.za for info on centres with ARV treatments.,249,qofta leh uur hadan qabta aydhiska waxay wadisan karta sindheerta xarumaha cafimaadka dadwaynaha waxay ka difaaci kartaa aydhiska wadada  waxaad ka fiirsan kartaa wwwtac.org.za xarunta dawada3.,193,249,285,,
,,,,Health,6,cafimaadka,10,ARV Treatment,13, habka dawo qadashada xanuunka dilaaga ah,41,ARV treatment begins during a serious HIV-related illness or when your CD4 count drops below 350. Most people start ARV 8-10 years after infection. It isn’t the same for all. See a doctor and get the best treatment for you! Remember: It doesn’t matter what your document status is - you are entitled to free ARV treatment.,322,arv wxay dawada u bilaban marka ay khatar tahay  ama xanuun kale uu la xidhiidho qofka ama cd4 hoos uga dhaco 350  inta badan tadku waxy noqotaa 8-10 sano kadib jeermiska kulina isku mid maaha  arag dhakhaatiirta helk dawo  ogow lama xidhiidho nooca sharci eed haysat waa in aad hesho bila guno,294,322,358,,
,,,,Health,6,cafimaadka,10,Sexual Abuse,12,xadgudub ka galmada,19,"If you wish to report a rape, go straight to the police. Don’t shower, drink liquids or use the toilet – this helps with evidence. You CAN change clothes, but take along the clothes you were wearing. You don’t need to report it to get medical treatment. If HIV negative before the assault, you have a right to a 28-day course of antiretrovirals to prevent HIV, but must take it within 72hrs. Help/info: LoveLife 0800-121-900; AIDS Helpline 0800-01-23-22; AIDS Hotline 0800-11-0605",480,hadaad rabto in aad ka cabato kufsi toos booliska  ha cabin cabitaan hana isticmaalin musqusha tan waxay kaa cawinaysaa cadaynta waxaad badalan kartaa dharka  waxa aad xidhnayd uma baahnid  waxaad xaq u leedahay 28 cisho guda hood si laaga difaco dilaaga ah wac0800-121-900aydhis 0800-01-23-22ama 0800-11-0605,309,480,516,,
,,,,,,,,Back,4,bangiga,7,,4,,,,,,
,,,,,,,,,,,,,3768,,,,,,
,,,,Education,9,waxbarashada,12,Your rights,11,xuquuqdada,10,Everyone has the right to basic education in SA. You must have a valid study permit to study in SA. In SA on another valid permit? Check first if your permit allows you to study in SA. Some conditions might apply.,213,qof kastaa waxuu haystaa xuquuqda wax barasho k afrika wana in ad haystaa ruqso shaqaynaysan si ad u barato hubina in uu kuu ogolaanyo in ad ku barato waxa jira xaalado lagaa codsan karo,186,213,249,,
,,,,Education,9,waxbarashada,12,School,6,isgoolka,8,"A creche is a preschool daycare centre for ages 1-6. Primary school: 7-13. Secondary school (academic or technical): 13-19. If you can't pay the fee, ask to work in exchange for a cheaper fee. Your child must have a visa and passport to be in SA. Children in SA must go to school – it’s the law. Tip: School age groups are flexible, so a child might be older than their classmates, but most government schools don't allow students to be 2yrs older than the grade’s age group.",475,xarunta xanaanada ciyaalka waxaa taki kara kaliya ilmaha1-6 dugsiga hoose waxaa tagi kara 7-13  dugsi sare waxaa adi kara13-19 hadaam bixin kain gunada way dii meesha ugu jabansi aaad ilmaha waa in ay haystaan dalkugal shaqaynaysa iyo baasaboor kadib waa in ay adan isgoolka talo hadii ilmuhu ka waynaado ciyaalka galaaska dhigannaya dawladu ma ogolaanayso wax 2 sano kabadan in uu galo galaaska,395,475,511,,
,,,,Education,9,waxbarashada,12,Application,11,codsiyda,8,"Your child must have at least a birth certificate, clinic card or old report card to register.  There'll be conditions for your child to attend school during your stay in SA. Register for a primary school closest to your house. English not good? Take a friend with who can help. Schools get full quickly so apply early (from July). If the school closest to your house is full, the school must show you another school that can help. If you struggle to register, the school close to your house must refer you to the Dept. of Education (DOE). If the school refuses admission, ask for a letter on their letterhead signed by the principal and take it to the DOE. Still can’t find a school? Contact a social service provider for education or LHR. More info on the contact list.",771,ilmahaagu ugu yaraan waa in uu haysto warqada dhalashada kaarka caafimadka haduu ka wayn yahay waa in aad dawaan galisaa waxay noqonaysaa xaalad ilamhaagu uu kaga qayb qaadan kara wax barashada wakhtiga  uu k afrka joogo ka diwaan gali isgoolka kuugu dhaw guriga aad joogto hadiii adan ku fiicnayn luuqada ingiriiska ka xayso cid kale hel durba foomka  codsiga bisha julay horaanteeda hadii uu buuxsamo isgoolka kugu dhaw waa in ay ku tusaan mid kalehadii aads ku dhiban tahay isgoolka kugu dhaw waxaad la kaashan karta  waxad wax barashada/doe/ haday kuu diidan waxaad ka codsan karataa warqad qoraala oo uu saxeexay madaxa sida nadsamka ah waxaanad u qaaadan kartaa waxad wax barashada hadii kle waxaad waci kartaasharci yaqaanada u dooda xuquuqda adamaha akhbaar badan,771,771,807,,
,,,,Education,9,waxbarashada,12,Tips,4,talooyinka,10,,0,,,0,36,,
,,,,Education,9,waxbarashada,12,School fees,11,gunada isgoolka,15,"If you can’t pay school fees, ask the school to reduce them by completing an exemption form. You must show proof of income (payslip/affidavit/letter of support) & give info on your expenses & responsibilities. Apply for exemption at the start of each term. Keep all letters & appointments with the school. If you ignore notices the school can make you pay. Find a NGO in the contact list for help with the form. Uniforms & learning materials also cost money. If you can’t afford a uniform, your child can wear clothes that resemble it, but must still go to school. Second-hand uniforms are cheaper. Ask at the school. You shouldn’t pay a registration fee. Public schools can’t ask your child to leave if you can’t pay.",718,hadaadan bixin karin gunada isgoolka waxaad ka codsan kartaa in ay kaa  dhimaan codsiga aqbalada  waana in aad u cadayso sababta  iyo dakhligaaga bilowga qodobka kasta ku cadee baahida taageeri ku sii xog khubradaysan sida aad u dareemayso masuuiliyda haada jaahil ka tahay waxa aman adan ogayy waxaad la kaashan kartaa hayadaha aan dawliga ahayn sida in ay kaa caawiyaan dharka isgoolkka waxa looga baahan yahay isgoolka iyo qiimaha ay ku kacayso  hadan awoodi ilmahagu waxay ku aadi karaan dhar kale o u eg xataa mid jaban ayaad u qadi kartaa diwaan galinta ma bixinaysid guno isgoolka dadaynaha kuma waydiin karaan ilmahana kama caydhin karaan,646,718,754,,
,,,,Education,9,waxbarashada,12,Special needs,13,wax yaalaha laysafga bahan yahay,32,Children with special learning needs can go to a special education school. Contact the Departmenr of Education and ask about schools. Placing your child in a special education school is a long process. Get your child on a waiting list as soon as possible.,255,ilmuhu waxyaalaha ay sigaar ah ugu baahan yihiiin in ay bartaan waxay u adi karaan meelo gaar ah la xidhiidh waxda wax barashada wada loo maran mid dheer  ilmaha waxada galisaa liiska sugida sida ugu soorta galsan,213,255,291,,
,,,,Education,9,waxbarashada,12,University,10,jaamacada,9,"You can study at a university to further your education or change your education from your home country to a SA degree. A university degree can help you to get into the SA job market. Remember: You must have a valid study permit to study in SA, you'll need to apply at the tecknikon or university before you come to SA.",319,waxaad baran kartaa jaamacada wax barashada labaad waxbarashada aad kala timid  k afrka jahaadiga labad  shahadada labaad waxay kaa caawinaysa shaqada xusuusnaw in aad haysato ruqso shaqaynaysA IN AAD WAX BARATO waxaad cosan karataa jaamacad  ama farsama yaqaan si ad k afrika wax ug barato,290,319,355,,
,,,,Education,9,waxbarashada,12,Uni. Tips,9,arima talooyinka,16,You need to pay an international registration & fee as an international student. Each university has thier own processes and will advise you when you apply to study there.,171,waxad u baahn tahay in aad bixiso diwan galinta caalamiga ah gunada waana in aad barato mida hashaadu khusayso waxayna ku siin talo xiliga codsiga halkaas,154,171,207,,
,,,,,,,,Back,4,kanoqo,6,,0,,,,,,
,,,,,,,,,,,0,,2958,,,,,,
,,,,Banking,7,bangiyada,9,Opening an account,18,farashada akowntiyo,19,"You must be 16 years or older with a valid passport and visa. You must have proof of residence: a rental contract, telephone/utility bill in your name. You need to prove your income with a payslip or affidavit. It may be difficult to open a bank account in SA. Even if you have the right documents, the bank can decide if they want to give you an account or not. You can also ask a legal counsellor to assist.",409,waana in aad haysato basaboor  16 sano jir iyo ka badan iyo dalkugal waana in ad haysato cadayn meesha aad tagan tahay iyo telefoonka  magacaaga  waxaad u baahan tahay in ad cadayso dakhliga ku sooo gala  wxaabna laga yaaba in ay kugu adkaatay in aad furato baangi k afrika  markaas waxaad codsan karta talooyin sharciya si ay kuu cawiyaan,339,409,445,,
,,,,,,,,Back,4,kanoqo,6,,0,,,,,,
,,,,,,,,,,,,,417,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,LGBTI rights,12,xuquuqda jinsiyada iyo guurka,29,"SA’s constitution protects the rights of Lesbian, Gay, Bisexual & Transgender individuals (LGBTI). LGBT victims of unjust treatment must go to the police. LGBT victims of hate speech may lay a complaint with the SAHRC or approach the Equality Court for relief. ",261,sharciga wadanka k afrika waxuu difaaca haweenka isqaba raga isqaba hadii aad tahay mid dhibane ah ama loo hanjabay  waa in aad ado booliskahadaad tahay mid  hadal nacayb ah lagu dhahay waxaad u gubin kartaa hayada xuquuqda adamaha xarunteeda am sinaanta maxkamada,264,261,297,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,LGBTI Safety,12,amaanka  jinsiyada,18,The Refugee act states that the LGBTI group can get protection if they are persecuted for their sexual orientation. Don’t be afraid to disclose your sexual orientation when applying for asylum. The RRO must treat your claim with confidentiality. ,246,heerka qaxootinimo ee jinsiyada galamda waxay helayaan difaac hadii ay u doodan galmadooda marka ay codsanayaan magan galyo  ha ka cabsan xafiiska qaabilaada qaxootiga waana in aad ku kalsoonato sheegshadaada,208,246,282,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,LGBTI Help,10,cawinta jinsiyada,17,Contact Lawyers for Human Rights (LHR) or another legal organisation if your claim isn’t treated with sensitivity and respect. www.lhr.org.za; 011-339-1960 or 012-320-2943.,172,la xidhidh hayada sharci yaqaanada u dooda xuquuqda adamaha ama uwa kale eesharciyada booqo www.lhr.org.za ama011-339-1960 ama012-320-2943 ,139,172,208,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,Abuse help,10,caawin khusaysa xadgudub,24,Abuse is illegal in SA. Get free legal help from selected women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.,165,xadgubka sharci darada ah waxaad la xidhiidhi karta ururda haweenka ama ciyaalka wac bilash 0800-150-150- si ay kuu cawiyaan,124,165,201,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,Abuse Rights,12,xuquuqda xadgubka,17,"Women and children have the right to live free from physical, verbal or sexual abuse. All types of abuse must be reported to the police. Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse by men or women is not acceptable and you can report them.",382,haweenka iyo ciyaalkawaxay haystan xoryad dhinac kasta ah  nooc kasta oo ah xadgub ah waan in aad  war galiso booliska ogow codsiga difaacidu waxay kaa cawin dhib badan qalalaaso macnihiisu waa dhib jidhka ah ama galmada ah kuwaas oom ku bilowday xadgudub marka aad lumiso xoriyadada sabab nin ama naag waa in aad war galiso,324,382,418,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,Report abuse,12,akhbaarta xadgubka,18,"If you or your child suffers from abuse, you must report it to the police. The police will open a criminal case. You must make a statement. You’ll get a case number. An officer will investigate your case. Some police stations have special units for domestic violence, sexual offences and child protection. Go to a police station close to your home. If you don’t, your case will take longer to process. You’ll go for a medical examination and counseling.",453,marka adiga ama ilmahagu ay la dhiban yihiin xadgudub waa in aad war galiso booliska  waxay kuu furayaan kiis danbe  markaasna way daba galayaan kiiskaguna waxuu si gaar ah u khuseeyaa xero gaara ah wxay leeyihiin koox gaar ah o qaabilsan hawlahaas xero kast oo kuu dhow aad  waxanad ada daryeelka caafimaadka iyo talooyika,323,453,489,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,Protection,10,difaaca,7,"If you’re afraid of more violence or feel threatened, you can go to court and get a protection order. You don’t need a lawyer. A protection order can order your abuser to stop abusing you, to stay away from you or force him/her out of your home. Documents like medical reports and photos of your injuries can help your abuse case.  If there’s enough proof of abuse, you’ll get an interim protection order and suspended warrant of arrest. ",438,hadaad cabsato ama aad dareento hanjabaad waxaad adi kartaa maxkamada waxaad heli codsi difaacitaan uma baahnid sharci yaqaan ku difaaca codsiga difacitaanka ayaa ku khasbaya in  uu joojiyo waxa uu kugu hayo isaga aa iyada waxa kle oo ku caawinysa dhawaca sawirada waxay wax kataraysa kiiskaaga waxayna u horseedi karta in la xidho,331,438,474,,
,,,,LGBTI & VAWC,12,arimhaha guriga iyo galmada,27,Disobey P.O.,12,diidmada arimaha warqada iyo iwm,32,"If the abuser disobeys the order, you can get him/her arrested. You’ll need to go back to court a second time. Your abuser must also be there. The court will listen to your case. The court may give you a final protection order. If your abuser disobeys the order, he/she can get arrested.",287,hadii xadgubaha uu u hogaansami wayo waad xidhi kartaa  waxaanad u baahan tahay in aad ku  noqoto maxkamada  marka labaad maxkamadu waxay ku siin difaacida ugu danbaysa hadii ay u hogaansami waayo waad xidhi kartaa.,215,287,323,,
,,,,LGBTI & VAWC,12,,0,Trafficking,11,ganacsiga,9,"Human trafficking is a form of modern-day slavery where people are taken to another country under a false act. They’re exploited, can't leave and are tricked with false promises of good jobs and better lives. They're forced to work in brutal and inhumane conditions. Traffickers are dangerous and shouldn’t be confronted. Call the International Organisation for Migration (0800-555-999) or go to a police station if you know of someone who has been trafficked.",460,ka ganacsiga dadka waa adoonsi casri ah marka dadka  ay istimaalan wax been ah wadan kle waxay uga faadaysanyaan kamana tagi karaan shaqo fiican waxayna ku khasbayaanshaqo  arxan daro ah xaalada bahdil ah ka ganacsada yashu waa khatar e wac hayada caalamiga ah ee soo galootiga 0800-555-999 ama aad booliska haadad ogtahy kuwo ka nagacsadayaal ah,346,460,496,,
,,,,,,,,Back,4,kanoqo,6,,0,,,,,,
,,,,,,,,,,,,,2905,,,,,,
,,,,Safety/Children,15,amaanka iyo ciyaalka,20,Children without parent/guardian,32,ciyaalka aan lahayn waalidka,28,Children without a parent or guardian must be referred to the Department of Social Development. A social worker will be assigned to the child. The social worker will go to the Children’s Court. The court will confirm if the child is in need of care.,249,ciyaalka aan lahayn walidka ama ilaashimo waa in ku xidhnaadan waxad arimaha bulshada iyo hormarinta waxay u xilsaaran yihiin ciyaalka waxay adayaan ciyalka waxaana go aaminaya in ilmahan u baahan yahay caawin maxkamada,219,249,285,,
,,,,Safety/Children,15,amaanka iyo ciyaalka,20,Place of safety,15,meesha nabad galyada,20,"The social worker will verify the child’s placement in a temporary place of safety. A report must be compiled. If the child is a migrant, the social worker must try to find and reunite the family in the country of origin. If the family can’t be located and the child can’t be returned home, you must contact a legal counsellor. This is important: children must get documented as soon as possible, otherwise they risk becoming stateless.",436,waxada arimaha bulshada way hubisaa in ilmaha bara goobayn si ku meel gaadha meel nabada ah warka wa in uu yahay mid dhamaystiran hadii ilmuhu yahay soo galoti waxda arimaha bulshada waa in ay isku daydo in ay dib u mideeyaan qoyskooda meesha uu asal ahaan ka yimid  waxaad la xidhiidhtaa waxada sharciyada  taas waa muhiim ciyaalka waa in ay haystaan warqada ha sharciga hadii kale waxuu khatar u yahay qaran jabab,415,436,472,,
,,,,Safety/Children,15,amaanka iyo ciyaalka,20,Xenophobia,10,jinsi nacaybka,14,"Xenophobia is an irrational hatred towards foreigners or an unreasonable fear or hatred of the unfamiliar persons. If you are a victim of xenophobic attacks, you must report it to the police. Go to the police station closest to your home. You must explain in detail what happened. The police will open a case. You will get a case number. Keep it safe! If you’ve lost your document, get an affidavit from the police that explains your situation. Go to the RRO for a new permit.",476,jinsi nacaybku waa ficil nacaybsho kaas oo lagu la kaco kaliya ajaanibka  ama waa fal fulaynimo ama waa nacayb aan lahayn wax isaga oo kle ah hadaba hadad tahay qof dhibane jinsi nacay waa in aad war galisa booliska  aad booliska kuugu dhaw meesha aad joogto  waa in aad u qeexdo waxa dhacay iyo say u dhacen booliku waxay kuu furayaan  kiis  hajina kiiska  haddaad lumiso sharcigaaga   aad booliska ka soo qoro cadayn boolis   sharxasa sida wax kuu gadheen  aad waaxda  qaabilaada qaxoootiga  si aad u hesho warqad sharciya o cusub,532,476,512,,
,,,,,,,,Back,4,noqo,4,,0,,,,,,
,,,,,,,,,,,,,1177,,,,,,
,,,,Qualifying for permanent residence,34,gaadhida xiliga daganaansho rasmiya,35,Requirements,12,codsiyada,9,You qualify for permanent residence if you've had a work/spousal visa for 5 years OR you are a child under 21 of someone with permanent residence OR you are a child of a citizen.,178,tayo daada daganaasha ha hadaad haysato  dalkugal 5 sano ahama ilmahagu yahay kayar 21 sani  waxaad  tahay dhaladka wadanka,123,178,214,,
,,,,,,,,Back,4,noqo,4,,0,,,,,,
,,,,,,,,,,,,,186,,,,,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Interview,9,su aalaha,9,Application requires an interview with Home Affairs officer at VFS centre when submitting your application form. Married couples/partners must both sign form and attend interview together.  ,190,codsiga sharciga lagaa rabo marka su aalaha lagu waydiinayo waxda sharciyada gudbi codsigaaga  ama kuwa isqaba waan in ay wada saxeexaan kana wada qayb qaataan su alaha ,169,190,226,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Online Application,18,codsi toosa,11,Complete a BI-947 online application for the correct visa type and book an appointment for your nearest VFS centre by visiting http://www.vfsglobal.com/dha/southafrica/index.html,178,dhamaystrirka ba da kowaad/b1-947/waa toos codsiya si saxa dalkugala waxaad u baahan tahay balan meesha kugu dhaw ee waxda galkugalka  ama booqo www.vfsglobal/dha/southafrica/index.html,185,178,214,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Where to apply,14,xageed ka codsatay,18,"After completing the online form, you need to apply at VFS centre in Durban, Cape Town, Port Elizabeth, Joburg, Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George or Bloemfontein. ",191,"marka aad dhamayso codsiga tooska bwaxaad u baahan tahay in aad codsi kale xarunta dalku galka  sida darban kebtown.johansibeg,bot elisabet. nelsibarayd,bolokuwane,buluumfoontayn,,",180,191,227,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Docs required,13,maxaad wax ku codsatay,22,Please see VFS website here http://bit.ly/1T93608 for list of documents needed per visa type. Make sure you have all required documents or your application will be rejected.,173,fadalan arag xarunta dalkugalka/vfs/wabka halkanhttp//bit.ly/it93608 ama liiska waraqha waxaad u baahan tahay dalku galkasta  hubi in aad codsatay   ama lagu siiyay diidmo,171,173,209,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Process time,12,wkatiga shaqada,15,Permanent residence permit applications have a minimum processing time of 8-10 months. Track your application online on VFS Global website to determine your application status.,176,"codsiga daganaasho rasmiya waxaa ugu badan ilaa 8--10 bilood   la soco copdsigaaga  si toosa VFSGLOBAL,WABKA,si aad u ogaato codsigaaga halka ama darajada u marayo",163,176,212,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Paying fees,11,bixinta gunada,14,"Pay by EFT, credit/debit card at the centre or prepayment at a Standard Bank branch. Acount name: VFS VISA PROCESSING SA (PTY) LTD; Bank: STANDARD BANK; Branch Code: 011545; Account number no: 002012731",202,"waxaad ku bixin kartaa kaar ka amahda xarumaha   ama meela ha lagu bixiyo sida istandhar/standard baanki magaca lagu diro VFS GLOBAL PROCESSING K A  PTY, QAYBTA 011545  MAGA AKOWNTIGA  002012731",194,202,238,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Collection,10,diwaanka,8,"Collect at VFS or have representative collect. Applicant's passport is needed. The representative also needs an authorisation letter with the applicant's name, passport no., signature, own name, ID no. and copy of ID.",217, soo qado dalkugalka  iyo codsiga basaboorka  waxaana laga baahan yahay sida qof ku mata hadaadan joogin iyo waliba qoraaal aad ku ogolaanayso adiga oo ku cadaynaya magacaaga iyo aqoonsigaaga saxeexaaga koobiga aqoonsigaaga,223,217,253,,
,,,,Permanent Residence,19,daganansho rasmiya,18,Proof of visa,13,hubinta dalkugalka,18,"If you need proof of your permanent residence visa, you will need to fill in a form on www.vfsglobal.com to make an appointment at VFS. Take your documents and you'll have to pay a fee.",185,hadaad u baahan tahay  cadayn daganashahaaga  ama dalkugalkaaga waaxaad u baahan buuxiso foomka  wabka www.vfsglobal.com si aad uga qabsato balan dalkugal  qado warqadahaga waana in aad bixiso gunada,199,185,221,,
,,,,,,,,Back,4,noqo,4,,0,,,,,,
,,,,,,,,,,,,,1548,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Statelessness,13,guri laaan ,11,Statelessness,13,"Guri la,aanta ",14,"A stateless person doesn’t have citizenship in any country. You are also at risk of being stateless if your nationality status is undecided. Not all undocumented persons are considered stateless, e.g. when your birth isn’t registered or if you don’t have a birth certificate, ID or passport. ",292,qofka qaran jabsan ma haysto wax dhalasho ah oo wadan  markaa s waxaad khatar u tahay  dhib badan inta aan laga go aan gaadhin dhalashadaada mana aha dhamaan sharciyadaada  tusaale   hadii aad dhasho waa in aad is diwan galiso  si aad u hesho cadayn dhalasho aqoonsi baasa boor  ah,281,292,328,,
,,,,Statelessness,13,guri laaan ,11,Risks,5,khatarta,8,An undocumented person’s risk of being stateless increases when you belong to a certain category or when certain factors are present like: birth outside your parents’ country of nationality; death or desertion of your parent(s); Irregular migration across international borders; mixed nationality of your parents; loss of clinic cards or records; If you’re close to an international border with high cross-border movement; when the law doesn’t permit dual nationality.,468,qofka aan haysan wax sharcioya  waxuu khatar u yahay qaran jab waxaana kor u kacaysa mararka aad gaadho waxoogaa guul ah  isla markaana dhalashadaadu tahay wadanka debadiisa  dhibaabkana waxa dhacaan marka aad  walikaa dhinto  ama aad goyso xadadka  ama aad isku darto sharciyo hadii ay lumiyeen walidkaa kaarka caafimaadka hadii la xidhayu xadka  marka sharciga  la xidhidha iyo daganashaha,391,468,504,,
,,,,Statelessness,13,guri laaan ,11,Birth Regstr.,13,diwaangalinta dhalmada,22,"A birth certificate proves your place of birth and identifies your parent/s. It’s the most important proof of your nationality. South African citizens born outside SA are entitled to a SA birth certificate. Foreign children born in SA are entitled to a birth certificate, but this doesn’t mean they’re South African citizens. Children born in SA must be registered within 30 days. If you were born in SA, apply for late birth registration. Applications close in December 2015.",476,warqada dhalashadu waxay cadaynaysaaa meesha aad ku dhalatay waxayna ku xaqiijinaysa adiga iyo waaalidkaa  waana cadaynta ugu muhiimsan  k afrika  wadaniga ku dhashay wadanka debadiisa  waxad xaq u leedahay dhalasho wadanka  ciyaalka ajaanibta ah ee ku dhashay wadanka  k afrika waxay xaq umleeyihiin warqada dhalashada ciyalka ku dhasha wadanka kafrika waa in lagu diwaan galiyo 30cosho gudehed diwan galinta waxaa la xidhaa bisha dhiseenbar 2015,447,476,512,,
,,,,Statelessness,13,guri laaan ,11,Citizenship,11,dhalashada,10,"You have a claim to SA citizenship if you: were born to a parent with SA citizenship at the time of your birth; were born in SA to a parent who was a permanent resident of SA at the time of your birth and if you lived in SA until the age of 18; have been adopted by a SA citizen; applied for and received a certificate of naturalisation from the DHA; were born in SA and have no other citizenship, nationality or right to other citizenship or nationality.",455,hadaad sheegato in aadu dhalatay wadanka k afrka  halay ahaayeen walidaka wadani k afrika xaliga aad  dhalatay  halkeed ku dhalatay walidkaa  keebaaa haystay dhalsho k afrikaan ah xiliga aad dhalatay iyo in aad ku noolayd ilaa inta aad ka gaadhaysay 18 sano haad u qalanto in aad noqoto wadani k afrkaan ah  hel warqada dhalashada  foomka dhexdhexaadka ah waxada sharciyada meesha aad kaga dhalaty wadanka k afrka  waxad sido kle in ad haysato dhlasho kle xaq u ledahay si caalamiya,482,455,491,,
,,,,Statelessness,13,guri laaan ,11,Legal advice,12,waano shariga khusaysa,22,"If you struggle to register a birth or access nationality in your country of birth, contact Lawyers for Human Rights on 011-339-1960 or 012-320-2943.",149,hadii aad la dhiban tahay  diwaan  galinta dhalsho ee wadankaga wac sharciyaqaanda 012-339-1960a ama012-320-2943,112,149,185,,
,,,,,,,,Back,4,noqo,4,,0,,,,,,
,,,,Back,4,noqo,4,,,,,,1864,,,,,,
,,,,,,,,,,,,,,,,,,,
Useful Services,15,adeeg muhiim ah,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
About/ T&Cs,11,udiyarsananta qaynuunka iyoshuruucda,36,,,,,,,,,,,,,,,,
,,,,Read T&Cs,9,udiyarsanta nadamka iyoshuruucda,32,Guide,5,qaynuunka,9,This mobile info system is only a guide. It isn’t the same as complete legal advice. Users should contact a law clinic for complex issues. LHR will not be liable for any loss from actions taken as a result of this service. ,223,"nadaamka telefoonka waa nadam  kaliya  manaha aha marka si dhamaystiran  oo sharciya  kamana aha masuul hayada sharciyaqanada q,admaha waxii aad halayso",152,223,259,,
,,,,Read T&Cs,9,udiyarsanta nadamka iyoshuruucda,32,Confidential,12,kalsoonida,10,Your registration and personal details are confidential and safe. These details will only be used when you’ve made a follow up request or report to Lawyers for Human Rights. ,174,"diwaan galintada ama shaqsiyan waa kalsooni iyo amaan waxzaana la isticmaali karaa kaliya marka aad la socoto haysan jirin war gali H,Q,ADAMAHA",143,174,210,,
,,,,Read T&Cs,9,udiyarsanta nadamka iyoshuruucda,32,Costs,5,qiimaha,7,"The registration for this service is free, as is the actual mobile application. You will only be charged according to USSD data fees per their usage. ",150,diwaan galint adeega waa bilaash waxayna kugu kacasaysa sida howsha telafoonkaga  qiimaha marka aad codsato khibrad hawleed,123,150,186,,
